BENCH: vgg13
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00089934, 23.45, 18, 0.00244635, 116.30, 100, 0.37, 0.20
1, 0.00004834, 1.21, 2, 0.00012505, 4.81, 4, 0.39, 0.25
2, 0.01352510, 91.17, 39, 1.60090333, 2090.89, 100, 0.01, 0.04
3, 0.00006958, 110.30, 55, 0.00173195, 201.49, 100, 0.04, 0.55
4, 0.00001269, 1.15, 2, 0.00003356, 4.61, 4, 0.38, 0.25
5, 0.01381333, 81.87, 36, 0.09915343, 282.78, 100, 0.14, 0.29
6, 0.00694571, 178.41, 39, 0.57724667, 1490.16, 100, 0.01, 0.12
7, 0.00186013, 147.47, 38, 0.00958944, 200.44, 100, 0.19, 0.74
8, 0.00000949, 38.77, 41, 0.00000868, 97.65, 100, 1.09, 0.40
9, 0.00651825, 123.56, 88, 0.06948320, 237.86, 100, 0.09, 0.52
10, 0.01147080, 145.98, 34, 0.06340217, 353.79, 100, 0.18, 0.41
11, 0.01437753, 322.15, 36, 9999.00000000, 2106.57, 100, 0.00, 0.15
12, 0.00002643, 0.99, 2, 0.00005687, 6.72, 4, 0.46, 0.15
13, 0.00000525, 0.96, 2, 0.00000533, 3.77, 4, 0.98, 0.25
14, 0.01417200, 94.40, 32, 0.18856267, 445.92, 100, 0.08, 0.21
15, 0.00333132, 68.45, 36, 0.51469067, 1827.95, 100, 0.01, 0.04
16, 0.00000176, 0.98, 2, 0.00000175, 3.83, 4, 1.00, 0.26
17, 0.00646800, 48.99, 34, 0.29293500, 520.64, 100, 0.02, 0.09
18, 0.00000809, 1.01, 2, 0.00000734, 4.08, 4, 1.10, 0.25
