BENCH: mnasnet1_0
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00003750, 35.83, 33, 0.00012718, 98.28, 100, 0.29, 0.36
1, 0.00016001, 21.38, 12, 0.00026866, 105.06, 100, 0.60, 0.20
2, 0.00003894, 60.00, 45, 0.00010695, 99.63, 100, 0.36, 0.60
3, 0.00009823, 50.56, 45, 0.00025923, 101.76, 100, 0.38, 0.50
4, 0.00022509, 44.78, 45, 0.00064213, 103.86, 100, 0.35, 0.43
5, 0.00002766, 65.45, 48, 0.00008946, 192.50, 100, 0.31, 0.34
6, 0.00002090, 20.64, 18, 0.00008269, 114.03, 100, 0.25, 0.18
7, 0.00003301, 12.70, 12, 0.00013757, 118.58, 100, 0.24, 0.11
8, 0.00003701, 44.14, 43, 0.00007234, 98.21, 100, 0.51, 0.45
9, 0.00014699, 20.09, 21, 0.00021607, 100.67, 100, 0.68, 0.20
10, 0.00001674, 15.08, 14, 0.00014175, 113.56, 100, 0.12, 0.13
11, 0.00013692, 47.16, 45, 0.00037250, 104.74, 100, 0.37, 0.45
12, 0.00005980, 59.05, 48, 0.00025711, 102.54, 100, 0.23, 0.58
13, 0.00014765, 44.23, 43, 0.00043009, 104.23, 100, 0.34, 0.42
14, 0.00003998, 15.61, 14, 0.00026846, 114.36, 100, 0.15, 0.14
15, 0.00005473, 56.38, 45, 0.00019196, 99.97, 100, 0.29, 0.56
16, 0.00000787, 75.38, 77, 0.00000829, 97.82, 100, 0.95, 0.77
17, 0.00008393, 35.06, 35, 0.00015655, 99.84, 100, 0.54, 0.35
18, 0.00005784, 41.75, 43, 0.00011153, 98.98, 100, 0.52, 0.42
19, 0.00007746, 12.89, 13, 0.00028513, 104.74, 100, 0.27, 0.12
20, 0.00002381, 17.36, 15, 0.00010290, 131.51, 100, 0.23, 0.13
21, 0.00001767, 17.30, 15, 0.00010144, 117.06, 100, 0.17, 0.15
22, 0.00013571, 43.99, 45, 0.00040082, 102.48, 100, 0.34, 0.43
23, 0.00009945, 42.85, 43, 0.00021016, 100.70, 100, 0.47, 0.43
24, 0.00003903, 16.31, 14, 0.00016197, 114.72, 100, 0.24, 0.14
25, 0.00012108, 43.05, 43, 0.00027588, 99.56, 100, 0.44, 0.43
26, 0.00005857, 37.24, 34, 0.00010651, 99.73, 100, 0.55, 0.37
27, 0.00025913, 44.19, 45, 0.00067244, 105.88, 100, 0.39, 0.42
28, 0.00001003, 10.82, 11, 0.00007330, 109.62, 100, 0.14, 0.10
29, 0.00002778, 27.68, 23, 0.00015577, 118.64, 100, 0.18, 0.23
30, 0.00006567, 43.33, 33, 0.00023895, 100.78, 100, 0.27, 0.43
31, 0.00006958, 73.70, 43, 0.00015560, 99.68, 100, 0.45, 0.74
32, 0.00002433, 15.91, 16, 0.00022562, 112.75, 100, 0.11, 0.14
33, 0.00014094, 55.54, 43, 0.00046449, 101.91, 100, 0.30, 0.54
34, 0.00000351, 23.63, 25, 0.00000381, 97.55, 100, 0.92, 0.24
35, 0.00002802, 18.30, 15, 0.00008932, 111.96, 100, 0.31, 0.16
