BENCH: densenet121
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00036640, 44.12, 43, 0.00088365, 101.33, 100, 0.41, 0.44
1, 0.00007535, 70.93, 58, 0.00015267, 100.21, 100, 0.49, 0.71
2, 0.00021455, 65.48, 45, 0.00068523, 101.01, 100, 0.31, 0.65
3, 0.00112244, 26.01, 22, 0.00453442, 138.19, 100, 0.25, 0.19
4, 0.00015282, 70.12, 53, 0.00042036, 100.44, 100, 0.36, 0.70
5, 0.00000377, 0.97, 2, 0.00000464, 3.88, 4, 0.81, 0.25
6, 0.00007273, 42.56, 43, 0.00012620, 102.36, 100, 0.58, 0.42
7, 0.00082146, 30.49, 30, 0.00251368, 104.35, 100, 0.33, 0.29
8, 0.00006211, 78.88, 57, 0.00024874, 102.38, 100, 0.25, 0.77
9, 0.00023705, 55.58, 43, 0.00036136, 100.37, 100, 0.66, 0.55
10, 0.00007196, 16.77, 18, 0.00017955, 99.06, 100, 0.40, 0.17
11, 0.00002313, 122.89, 55, 0.00008808, 196.89, 100, 0.26, 0.62
12, 0.00104987, 47.15, 36, 0.00385445, 110.42, 100, 0.27, 0.43
13, 0.00011064, 55.39, 48, 0.00031783, 100.35, 100, 0.35, 0.55
14, 0.00020378, 103.79, 64, 0.00081593, 101.45, 100, 0.25, 1.02
15, 0.00000313, 0.97, 2, 0.00000377, 3.90, 4, 0.83, 0.25
16, 0.00017694, 62.36, 36, 0.00026826, 100.28, 100, 0.66, 0.62
17, 0.00038635, 44.07, 43, 0.00079179, 101.57, 100, 0.49, 0.43
18, 0.00007988, 79.89, 60, 0.00020457, 100.25, 100, 0.39, 0.80
19, 0.00032168, 49.50, 44, 0.00101541, 105.26, 100, 0.32, 0.47
20, 0.00008458, 61.64, 60, 0.00021424, 100.12, 100, 0.39, 0.62
21, 0.00033759, 52.00, 43, 0.00067604, 101.59, 100, 0.50, 0.51
22, 0.00006262, 58.07, 53, 0.00020667, 102.82, 100, 0.30, 0.56
23, 0.00097549, 45.09, 43, 0.00275187, 105.09, 100, 0.35, 0.43
24, 0.00015028, 58.91, 43, 0.00035911, 100.84, 100, 0.42, 0.58
25, 0.00028043, 56.15, 43, 0.00065107, 100.99, 100, 0.43, 0.56
26, 0.00000493, 1.08, 2, 0.00000572, 4.32, 4, 0.86, 0.25
27, 0.00010028, 17.52, 18, 0.00018407, 98.98, 100, 0.54, 0.18
28, 0.00058769, 57.49, 43, 0.00152448, 102.71, 100, 0.39, 0.56
29, 0.00029005, 60.40, 43, 0.00056960, 100.84, 100, 0.51, 0.60
30, 0.00008552, 51.17, 42, 0.00029837, 100.76, 100, 0.29, 0.51
31, 0.00001170, 63.00, 64, 0.00001283, 99.54, 100, 0.91, 0.63
32, 0.00034695, 63.29, 57, 0.00139727, 104.12, 100, 0.25, 0.61
33, 0.00013949, 69.21, 57, 0.00051324, 100.66, 100, 0.27, 0.69
34, 0.00051045, 43.70, 43, 0.00124319, 102.30, 100, 0.41, 0.43
35, 0.00043365, 43.41, 43, 0.00108367, 101.87, 100, 0.40, 0.43
36, 0.00028186, 55.64, 43, 0.00044199, 100.60, 100, 0.64, 0.55
37, 0.00005305, 53.36, 51, 0.00018803, 100.49, 100, 0.28, 0.53
38, 0.00014102, 76.28, 64, 0.00044289, 101.00, 100, 0.32, 0.76
39, 0.00043677, 27.90, 28, 0.00148921, 102.36, 100, 0.29, 0.27
40, 0.00013438, 173.28, 82, 0.00047173, 100.65, 100, 0.28, 1.72
41, 0.00004526, 63.77, 50, 0.00013122, 99.84, 100, 0.34, 0.64
42, 0.00113182, 67.49, 43, 0.00696052, 178.56, 100, 0.16, 0.38
43, 0.00031087, 17.50, 18, 0.00064647, 101.22, 100, 0.48, 0.17
44, 0.00006414, 50.27, 43, 0.00011728, 99.98, 100, 0.55, 0.50
45, 0.00013922, 27.65, 27, 0.00037083, 99.29, 100, 0.38, 0.28
46, 0.00034747, 50.98, 43, 0.00081832, 101.36, 100, 0.42, 0.50
47, 0.00053120, 44.60, 43, 0.00182397, 104.78, 100, 0.29, 0.43
48, 0.00000723, 0.96, 2, 0.00000782, 3.86, 4, 0.92, 0.25
49, 0.00107898, 57.41, 39, 0.00500746, 120.48, 100, 0.22, 0.48
50, 0.00012703, 76.04, 58, 0.00033071, 100.71, 100, 0.38, 0.76
51, 0.00030316, 43.59, 43, 0.00075320, 101.10, 100, 0.40, 0.43
52, 0.00012743, 48.20, 43, 0.00020891, 100.23, 100, 0.61, 0.48
53, 0.00009865, 21.28, 21, 0.00027051, 99.17, 100, 0.36, 0.21
54, 0.00013511, 49.06, 45, 0.00050895, 100.73, 100, 0.27, 0.49
55, 0.00013541, 53.34, 43, 0.00018862, 102.49, 100, 0.72, 0.52
56, 0.00025272, 17.10, 18, 0.00099316, 100.60, 100, 0.25, 0.17
57, 0.00101945, 58.92, 43, 0.00488655, 116.56, 100, 0.21, 0.51
58, 0.00032425, 70.43, 43, 0.00070558, 101.18, 100, 0.46, 0.70
59, 0.00011092, 58.41, 43, 0.00017461, 100.16, 100, 0.64, 0.58
60, 0.00053799, 43.81, 43, 0.00148979, 102.47, 100, 0.36, 0.43
61, 0.00001794, 10.00, 11, 0.00001829, 64.50, 64, 0.98, 0.16
62, 0.00029789, 106.66, 43, 0.00100094, 106.15, 100, 0.30, 1.00
63, 0.00008038, 43.40, 43, 0.00016462, 100.11, 100, 0.49, 0.43
64, 0.00052025, 45.05, 38, 0.00200052, 103.78, 100, 0.26, 0.43
65, 0.00042794, 67.06, 42, 0.00129076, 102.15, 100, 0.33, 0.66
66, 0.00024324, 64.36, 43, 0.00064050, 101.77, 100, 0.38, 0.63
67, 0.00011788, 17.60, 18, 0.00015895, 98.91, 100, 0.74, 0.18
68, 0.00045880, 43.87, 43, 0.00109066, 102.57, 100, 0.42, 0.43
69, 0.00030104, 43.86, 43, 0.00064985, 101.25, 100, 0.46, 0.43
70, 0.00016163, 50.14, 45, 0.00049547, 103.98, 100, 0.33, 0.48
71, 0.00002129, 100.94, 78, 0.00006811, 102.81, 100, 0.31, 0.98
72, 0.00007459, 55.01, 49, 0.00014915, 102.49, 100, 0.50, 0.54
