BENCH: resnet34
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00006193, 87.83, 53, 0.00042043, 97.44, 100, 0.15, 0.90
1, 0.00112269, 36.96, 22, 0.00687550, 120.71, 100, 0.16, 0.31
2, 0.00096280, 99.29, 36, 0.01966540, 138.31, 100, 0.05, 0.72
3, 0.00001129, 114.89, 55, 0.00003325, 196.45, 100, 0.34, 0.58
4, 0.00000289, 0.97, 2, 0.00000345, 3.88, 4, 0.84, 0.25
5, 0.00105604, 47.09, 39, 0.00778164, 122.71, 100, 0.14, 0.38
6, 0.00091351, 109.42, 39, 0.01683713, 139.52, 100, 0.05, 0.78
7, 0.00074252, 49.31, 39, 0.00767856, 116.43, 100, 0.10, 0.42
8, 0.00006032, 82.94, 72, 0.00045622, 97.82, 100, 0.13, 0.85
9, 0.00006380, 120.78, 77, 0.00025328, 96.60, 100, 0.25, 1.25
10, 0.00000934, 44.77, 47, 0.00001518, 95.69, 100, 0.62, 0.47
11, 0.00053553, 84.04, 47, 0.00200578, 113.55, 100, 0.27, 0.74
12, 0.00105828, 55.03, 51, 0.00793310, 123.76, 100, 0.13, 0.44
13, 0.00095867, 239.21, 39, 0.21784767, 498.34, 100, 0.00, 0.48
14, 0.00091034, 141.28, 36, 0.01981790, 140.84, 100, 0.05, 1.00
15, 0.00098668, 60.45, 51, 0.01615517, 135.83, 100, 0.06, 0.45
16, 0.00001782, 15.66, 17, 0.00002344, 63.32, 64, 0.76, 0.25
17, 0.00055935, 41.65, 34, 0.00703818, 116.42, 100, 0.08, 0.36
18, 0.00097575, 118.66, 39, 0.22637500, 469.82, 100, 0.00, 0.25
