BENCH: densenet161
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00059463, 47.34, 35, 0.00169936, 104.40, 100, 0.35, 0.45
1, 0.00004629, 61.44, 54, 0.00013750, 103.91, 100, 0.34, 0.59
2, 0.00014422, 67.24, 57, 0.00050509, 98.96, 100, 0.29, 0.68
3, 0.00056993, 52.53, 42, 0.00233405, 102.44, 100, 0.24, 0.51
4, 0.00026999, 52.17, 43, 0.00047822, 99.00, 100, 0.56, 0.53
5, 0.00064183, 54.47, 43, 0.00133365, 103.77, 100, 0.48, 0.52
6, 0.00167759, 16.92, 15, 0.00556521, 118.62, 100, 0.30, 0.14
7, 0.00057845, 17.25, 18, 0.00099109, 98.38, 100, 0.58, 0.18
8, 0.00000507, 0.95, 2, 0.00000572, 3.79, 4, 0.89, 0.25
9, 0.00047775, 43.17, 35, 0.00211712, 101.83, 100, 0.23, 0.42
10, 0.00022641, 63.41, 43, 0.00045331, 99.29, 100, 0.50, 0.64
11, 0.00144132, 47.64, 35, 0.00535182, 108.48, 100, 0.27, 0.44
12, 0.00019545, 62.17, 48, 0.00052842, 102.80, 100, 0.37, 0.60
13, 0.00048358, 50.80, 38, 0.00072305, 101.83, 100, 0.67, 0.50
14, 0.00070945, 44.36, 43, 0.00248356, 106.39, 100, 0.29, 0.42
15, 0.00013503, 67.29, 62, 0.00041249, 101.26, 100, 0.33, 0.66
16, 0.00004656, 128.86, 56, 0.00014763, 202.82, 100, 0.32, 0.64
17, 0.00208395, 41.97, 36, 0.00830362, 113.81, 100, 0.25, 0.37
18, 0.00023475, 52.60, 48, 0.00071519, 100.05, 100, 0.33, 0.53
19, 0.00043417, 44.90, 43, 0.00062795, 102.05, 100, 0.69, 0.44
20, 0.00060120, 57.08, 38, 0.00182598, 101.87, 100, 0.33, 0.56
21, 0.00000483, 0.96, 2, 0.00000460, 3.84, 4, 1.05, 0.25
22, 0.00012199, 80.75, 45, 0.00039456, 99.02, 100, 0.31, 0.82
23, 0.00034593, 42.50, 43, 0.00081189, 100.83, 100, 0.43, 0.42
24, 0.00018558, 80.31, 57, 0.00059393, 99.57, 100, 0.31, 0.81
25, 0.00066195, 46.04, 43, 0.00181456, 102.11, 100, 0.36, 0.45
26, 0.00056644, 44.76, 37, 0.00205054, 107.51, 100, 0.28, 0.42
27, 0.00028699, 17.19, 18, 0.00062006, 98.40, 100, 0.46, 0.17
28, 0.00026278, 63.41, 43, 0.00041232, 99.49, 100, 0.64, 0.64
29, 0.00021571, 79.29, 47, 0.00048227, 99.46, 100, 0.45, 0.80
30, 0.00047371, 85.90, 38, 0.00163837, 101.59, 100, 0.29, 0.85
31, 0.00009333, 66.38, 57, 0.00033416, 98.85, 100, 0.28, 0.67
32, 0.00026389, 76.23, 65, 0.00058795, 102.25, 100, 0.45, 0.75
33, 0.00146941, 46.17, 38, 0.00607939, 110.35, 100, 0.24, 0.42
34, 0.00022046, 46.69, 43, 0.00052123, 100.07, 100, 0.42, 0.47
35, 0.00050348, 70.31, 38, 0.00148334, 101.21, 100, 0.34, 0.69
36, 0.00000559, 0.95, 2, 0.00000721, 4.16, 4, 0.78, 0.23
37, 0.00030486, 20.17, 18, 0.00056595, 98.32, 100, 0.54, 0.21
38, 0.00071101, 52.96, 38, 0.00228157, 105.78, 100, 0.31, 0.50
39, 0.00096786, 50.56, 38, 0.00273176, 107.80, 100, 0.35, 0.47
40, 0.00071720, 59.70, 43, 0.00151305, 103.50, 100, 0.47, 0.58
41, 0.00064920, 45.28, 38, 0.00275617, 105.63, 100, 0.24, 0.43
42, 0.00000696, 36.10, 38, 0.00000895, 97.80, 100, 0.78, 0.37
43, 0.00017695, 62.98, 57, 0.00059283, 100.27, 100, 0.30, 0.63
44, 0.00081244, 57.30, 38, 0.00302942, 104.79, 100, 0.27, 0.55
45, 0.00043185, 71.18, 38, 0.00124433, 100.97, 100, 0.35, 0.70
46, 0.00095346, 54.74, 43, 0.00272438, 104.33, 100, 0.35, 0.52
47, 0.00032084, 49.56, 43, 0.00065399, 105.06, 100, 0.49, 0.47
48, 0.00070670, 70.17, 38, 0.00184676, 106.22, 100, 0.38, 0.66
49, 0.00033556, 52.81, 51, 0.00111261, 100.97, 100, 0.30, 0.52
50, 0.00072539, 46.74, 38, 0.00227060, 102.86, 100, 0.32, 0.45
51, 0.00027831, 63.85, 43, 0.00063217, 101.27, 100, 0.44, 0.63
52, 0.00084803, 28.95, 28, 0.00209738, 102.33, 100, 0.40, 0.28
53, 0.00030453, 44.53, 43, 0.00099030, 100.62, 100, 0.31, 0.44
54, 0.00075252, 76.60, 38, 0.00214701, 102.80, 100, 0.35, 0.75
55, 0.00025998, 56.10, 43, 0.00046226, 102.24, 100, 0.56, 0.55
56, 0.00038490, 60.68, 45, 0.00092390, 103.04, 100, 0.42, 0.59
57, 0.00388873, 102.44, 45, 0.01830280, 141.70, 100, 0.21, 0.72
58, 0.00077734, 101.57, 42, 0.00177206, 104.63, 100, 0.44, 0.97
59, 0.00014997, 58.21, 49, 0.00046497, 99.97, 100, 0.32, 0.58
60, 0.00034920, 59.52, 58, 0.00121762, 103.49, 100, 0.29, 0.58
61, 0.00072063, 51.24, 43, 0.00163784, 104.51, 100, 0.44, 0.49
62, 0.00110399, 48.53, 43, 0.00384193, 107.60, 100, 0.29, 0.45
63, 0.00000972, 0.95, 2, 0.00001072, 3.87, 4, 0.91, 0.25
64, 0.00023264, 83.04, 72, 0.00080197, 100.64, 100, 0.29, 0.83
65, 0.00039183, 45.93, 43, 0.00066343, 103.41, 100, 0.59, 0.44
66, 0.00207186, 60.18, 45, 0.01077507, 136.05, 100, 0.19, 0.44
67, 0.00076109, 54.42, 43, 0.00177296, 102.43, 100, 0.43, 0.53
68, 0.00024157, 71.29, 56, 0.00073648, 100.94, 100, 0.33, 0.71
69, 0.00019804, 50.67, 43, 0.00037332, 99.85, 100, 0.53, 0.51
70, 0.00018513, 82.92, 68, 0.00064616, 100.46, 100, 0.29, 0.83
71, 0.00032431, 40.56, 35, 0.00107904, 101.96, 100, 0.30, 0.40
