BENCH: resnet152
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00069954, 53.45, 45, 0.00960298, 110.67, 100, 0.07, 0.48
1, 0.00103274, 40.59, 39, 0.00665208, 138.67, 100, 0.16, 0.29
2, 0.00046792, 44.38, 45, 0.00569463, 106.00, 100, 0.08, 0.42
3, 0.00112458, 25.31, 22, 0.00488101, 113.15, 100, 0.23, 0.22
4, 0.00045013, 56.83, 56, 0.00912650, 138.47, 100, 0.05, 0.41
5, 0.00117066, 40.95, 36, 0.00404372, 115.83, 100, 0.29, 0.35
6, 0.00045110, 62.72, 56, 0.00356417, 106.85, 100, 0.13, 0.59
7, 0.00004695, 109.94, 59, 0.00018715, 201.56, 100, 0.25, 0.55
8, 0.00111871, 50.37, 36, 0.00464081, 118.53, 100, 0.24, 0.42
9, 0.00000463, 0.96, 2, 0.00000451, 3.82, 4, 1.03, 0.25
10, 0.00012673, 97.15, 62, 0.00054938, 97.17, 100, 0.23, 1.00
11, 0.00090961, 58.04, 45, 0.01560983, 178.19, 100, 0.06, 0.33
12, 0.00044469, 67.88, 59, 0.00126863, 100.24, 100, 0.35, 0.68
13, 0.00048555, 79.30, 55, 0.00365045, 104.25, 100, 0.13, 0.76
14, 0.00000928, 44.30, 46, 0.00001169, 97.80, 100, 0.79, 0.45
15, 0.00103558, 88.24, 51, 0.15306267, 487.72, 100, 0.01, 0.18
16, 0.00083165, 50.01, 47, 0.01440087, 270.13, 100, 0.06, 0.19
17, 0.00041760, 69.13, 47, 0.00379301, 107.17, 100, 0.11, 0.65
18, 0.00112924, 50.88, 44, 0.00548221, 130.93, 100, 0.21, 0.39
19, 0.00103462, 222.95, 39, 0.00900675, 229.14, 100, 0.11, 0.97
20, 0.00115043, 45.96, 36, 0.01882703, 139.74, 100, 0.06, 0.33
21, 0.00059244, 48.50, 38, 0.00525969, 112.83, 100, 0.11, 0.43
22, 0.00102745, 48.08, 34, 0.01716057, 137.56, 100, 0.06, 0.35
23, 0.00057856, 40.65, 40, 0.00186531, 101.30, 100, 0.31, 0.40
24, 0.00114147, 123.43, 43, 0.00469449, 117.91, 100, 0.24, 1.05
25, 0.00002420, 9.78, 11, 0.00002323, 63.15, 64, 1.04, 0.15
26, 0.00105788, 47.69, 43, 0.00448051, 114.09, 100, 0.24, 0.42
27, 0.00048119, 63.18, 52, 0.00711977, 116.68, 100, 0.07, 0.54
