BENCH: densenet201
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00051878, 98.83, 23, 0.00087544, 98.46, 100, 0.59, 1.00
1, 0.00019267, 51.67, 43, 0.00032012, 100.16, 100, 0.60, 0.52
2, 0.00031810, 52.11, 45, 0.00105169, 101.15, 100, 0.30, 0.52
3, 0.00037597, 57.69, 43, 0.00102369, 102.25, 100, 0.37, 0.56
4, 0.00054013, 51.57, 43, 0.00126023, 104.41, 100, 0.43, 0.49
5, 0.00010829, 62.21, 48, 0.00028794, 99.77, 100, 0.38, 0.62
6, 0.00116425, 39.07, 32, 0.00485862, 113.42, 100, 0.24, 0.34
7, 0.00016028, 70.04, 49, 0.00041936, 100.32, 100, 0.38, 0.70
8, 0.00000451, 0.95, 2, 0.00000528, 3.84, 4, 0.85, 0.25
9, 0.00047212, 84.64, 43, 0.00082845, 103.72, 100, 0.57, 0.82
10, 0.00019042, 71.83, 56, 0.00069222, 100.54, 100, 0.28, 0.71
11, 0.00043380, 47.37, 42, 0.00157995, 103.65, 100, 0.27, 0.46
12, 0.00070558, 81.54, 38, 0.00252324, 104.80, 100, 0.28, 0.78
13, 0.00012369, 55.84, 45, 0.00038719, 102.59, 100, 0.32, 0.54
14, 0.00014622, 115.85, 75, 0.00036915, 100.12, 100, 0.40, 1.16
15, 0.00044786, 36.67, 34, 0.00146628, 104.37, 100, 0.31, 0.35
16, 0.00008338, 76.98, 67, 0.00027635, 111.81, 100, 0.30, 0.69
17, 0.00004190, 113.20, 55, 0.00011821, 203.75, 100, 0.35, 0.56
18, 0.00050923, 46.49, 43, 0.00132324, 101.68, 100, 0.38, 0.46
19, 0.00100791, 32.35, 28, 0.00384670, 110.05, 100, 0.26, 0.29
20, 0.00008231, 59.62, 53, 0.00025815, 100.03, 100, 0.32, 0.60
21, 0.00016978, 60.17, 60, 0.00062928, 101.46, 100, 0.27, 0.59
22, 0.00015145, 50.30, 43, 0.00032027, 100.10, 100, 0.47, 0.50
23, 0.00037452, 82.18, 56, 0.00072233, 103.68, 100, 0.52, 0.79
24, 0.00000417, 0.97, 2, 0.00000447, 3.89, 4, 0.93, 0.25
25, 0.00041917, 43.42, 43, 0.00216692, 105.65, 100, 0.19, 0.41
26, 0.00013155, 54.84, 43, 0.00024589, 100.14, 100, 0.53, 0.55
27, 0.00020553, 44.99, 43, 0.00035354, 102.77, 100, 0.58, 0.44
28, 0.00010169, 85.04, 45, 0.00026207, 100.09, 100, 0.39, 0.85
29, 0.00050237, 145.55, 43, 0.00079857, 101.34, 100, 0.63, 1.44
30, 0.00007047, 56.95, 45, 0.00023654, 100.02, 100, 0.30, 0.57
31, 0.00016310, 81.13, 57, 0.00038611, 100.80, 100, 0.42, 0.80
32, 0.00016037, 47.23, 43, 0.00020596, 102.46, 100, 0.78, 0.46
33, 0.00061180, 44.74, 43, 0.00130222, 101.94, 100, 0.47, 0.44
34, 0.00024000, 72.27, 34, 0.00094065, 106.46, 100, 0.26, 0.68
35, 0.00023840, 79.97, 56, 0.00066654, 100.85, 100, 0.36, 0.79
36, 0.00009729, 54.46, 43, 0.00023056, 100.10, 100, 0.42, 0.54
37, 0.00099915, 58.90, 38, 0.00240254, 106.79, 100, 0.42, 0.55
38, 0.00046449, 48.74, 38, 0.00185380, 104.51, 100, 0.25, 0.47
39, 0.00007712, 70.62, 56, 0.00032772, 100.63, 100, 0.24, 0.70
40, 0.00023042, 63.44, 60, 0.00055751, 103.33, 100, 0.41, 0.61
41, 0.00012640, 55.89, 43, 0.00020576, 100.04, 100, 0.61, 0.56
42, 0.00000467, 1.08, 2, 0.00000551, 4.32, 4, 0.85, 0.25
43, 0.00038305, 74.78, 57, 0.00118471, 101.89, 100, 0.32, 0.73
44, 0.00009554, 64.94, 55, 0.00030147, 102.64, 100, 0.32, 0.63
45, 0.00033496, 67.60, 57, 0.00152507, 102.45, 100, 0.22, 0.66
46, 0.00017367, 50.25, 49, 0.00057761, 100.65, 100, 0.30, 0.50
47, 0.00028371, 67.99, 55, 0.00179158, 104.90, 100, 0.16, 0.65
48, 0.00001181, 59.90, 60, 0.00001222, 98.56, 100, 0.97, 0.61
49, 0.00009422, 68.19, 45, 0.00032277, 100.35, 100, 0.29, 0.68
50, 0.00035233, 57.28, 58, 0.00138404, 103.73, 100, 0.25, 0.55
51, 0.00007255, 59.49, 54, 0.00019388, 102.36, 100, 0.37, 0.58
52, 0.00017184, 76.62, 76, 0.00053439, 100.56, 100, 0.32, 0.76
53, 0.00041112, 43.58, 38, 0.00124732, 102.20, 100, 0.33, 0.43
54, 0.00006053, 63.11, 49, 0.00021760, 100.29, 100, 0.28, 0.63
55, 0.00013906, 26.58, 27, 0.00029622, 99.14, 100, 0.47, 0.27
56, 0.00052283, 48.06, 43, 0.00106617, 101.78, 100, 0.49, 0.47
57, 0.00026194, 82.89, 43, 0.00045016, 100.43, 100, 0.58, 0.83
58, 0.00034576, 57.01, 35, 0.00098850, 101.32, 100, 0.35, 0.56
59, 0.00056600, 42.68, 43, 0.00162892, 102.66, 100, 0.35, 0.42
60, 0.00009699, 74.23, 57, 0.00026647, 102.64, 100, 0.36, 0.72
61, 0.00016799, 70.38, 60, 0.00044434, 100.95, 100, 0.38, 0.70
62, 0.00049302, 28.98, 28, 0.00133189, 103.77, 100, 0.37, 0.28
63, 0.00263747, 79.54, 45, 0.02530280, 161.09, 100, 0.10, 0.49
64, 0.00026791, 53.15, 38, 0.00078552, 103.86, 100, 0.34, 0.51
65, 0.00052908, 55.35, 43, 0.00142120, 106.28, 100, 0.37, 0.52
66, 0.00008086, 75.78, 72, 0.00026837, 100.23, 100, 0.30, 0.76
67, 0.00016333, 56.50, 49, 0.00045813, 100.59, 100, 0.36, 0.56
68, 0.00023210, 54.92, 43, 0.00050632, 101.22, 100, 0.46, 0.54
69, 0.00028024, 55.63, 43, 0.00052603, 102.57, 100, 0.53, 0.54
70, 0.00040247, 18.40, 19, 0.00094608, 103.39, 100, 0.43, 0.18
71, 0.00043077, 41.49, 38, 0.00141339, 102.40, 100, 0.30, 0.41
72, 0.00017243, 17.21, 18, 0.00041431, 109.18, 100, 0.42, 0.16
73, 0.00013444, 75.22, 57, 0.00039408, 100.67, 100, 0.34, 0.75
74, 0.00032840, 64.99, 58, 0.00078857, 101.22, 100, 0.42, 0.64
75, 0.00059968, 120.14, 43, 0.00180083, 105.04, 100, 0.33, 1.14
76, 0.00000779, 0.97, 2, 0.00000785, 3.86, 4, 0.99, 0.25
77, 0.00020254, 81.22, 43, 0.00037307, 100.31, 100, 0.54, 0.81
78, 0.00007884, 61.05, 58, 0.00024154, 102.52, 100, 0.33, 0.60
79, 0.00111367, 43.37, 43, 0.00501588, 118.48, 100, 0.22, 0.37
80, 0.00014374, 74.86, 57, 0.00034348, 102.91, 100, 0.42, 0.73
81, 0.00045568, 48.14, 43, 0.00074344, 101.03, 100, 0.61, 0.48
82, 0.00009216, 58.60, 48, 0.00032838, 100.62, 100, 0.28, 0.58
83, 0.00051157, 56.47, 43, 0.00126856, 102.03, 100, 0.40, 0.55
84, 0.00009625, 65.68, 43, 0.00025836, 102.92, 100, 0.37, 0.64
