BENCH: shufflenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00000621, 15.49, 16, 0.00002620, 117.20, 100, 0.24, 0.13
1, 0.00008866, 15.97, 12, 0.00023562, 105.73, 100, 0.38, 0.15
2, 0.00009798, 108.29, 70, 0.00032914, 99.90, 100, 0.30, 1.08
3, 0.00001833, 126.07, 56, 0.00007766, 202.57, 100, 0.24, 0.62
4, 0.00000504, 10.60, 11, 0.00002030, 112.31, 100, 0.25, 0.09
5, 0.00002946, 16.78, 17, 0.00004679, 101.90, 100, 0.63, 0.16
6, 0.00001582, 7.25, 8, 0.00003785, 122.39, 100, 0.42, 0.06
7, 0.00004151, 42.66, 43, 0.00009671, 100.20, 100, 0.43, 0.43
8, 0.00001075, 44.86, 46, 0.00001444, 98.70, 100, 0.74, 0.45
9, 0.00009288, 30.99, 24, 0.00013294, 100.11, 100, 0.70, 0.31
10, 0.00000598, 12.45, 11, 0.00001573, 108.85, 100, 0.38, 0.11
11, 0.00013611, 43.84, 43, 0.00031971, 100.55, 100, 0.43, 0.44
12, 0.00001481, 7.08, 8, 0.00004420, 109.90, 100, 0.34, 0.06
13, 0.00006090, 25.98, 19, 0.00008589, 100.16, 100, 0.71, 0.26
14, 0.00000538, 10.35, 11, 0.00002633, 114.82, 100, 0.20, 0.09
15, 0.00030513, 45.50, 45, 0.00077796, 103.45, 100, 0.39, 0.44
16, 0.00004408, 42.49, 43, 0.00008957, 99.69, 100, 0.49, 0.43
17, 0.00001036, 13.70, 11, 0.00001305, 107.20, 100, 0.79, 0.13
18, 0.00001138, 5.07, 6, 0.00001971, 68.57, 64, 0.58, 0.07
19, 0.00000339, 25.38, 27, 0.00000365, 97.88, 100, 0.93, 0.26
