BENCH: vgg19
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00000729, 1.03, 2, 0.00000630, 4.08, 4, 1.16, 0.25
1, 0.00091265, 29.41, 21, 0.00224167, 119.78, 100, 0.41, 0.25
2, 0.00000178, 0.97, 2, 0.00000176, 3.82, 4, 1.01, 0.25
3, 0.01593003, 81.30, 51, 1.19023000, 2050.66, 100, 0.01, 0.04
4, 0.00007056, 127.91, 55, 0.00140730, 205.49, 100, 0.05, 0.62
5, 0.00001431, 0.98, 2, 0.00003642, 4.79, 4, 0.39, 0.21
6, 0.01393583, 129.56, 44, 0.09857000, 278.93, 100, 0.14, 0.46
7, 0.00005277, 1.02, 2, 0.00021390, 4.75, 4, 0.25, 0.22
8, 0.00713405, 75.54, 53, 0.54761100, 1371.61, 100, 0.01, 0.06
9, 0.00188486, 195.41, 34, 0.01003253, 196.09, 100, 0.19, 1.00
10, 0.00002745, 1.70, 2, 0.00007176, 6.76, 4, 0.38, 0.25
11, 0.00728946, 125.15, 32, 0.06770580, 244.10, 100, 0.11, 0.51
12, 0.01151000, 202.23, 55, 0.06341507, 354.02, 100, 0.18, 0.57
13, 0.01452583, 177.44, 36, 9999.00000000, 2108.73, 100, 0.00, 0.08
14, 0.00001213, 56.22, 58, 0.00000925, 97.31, 100, 1.31, 0.58
15, 0.00000416, 1.02, 2, 0.00000470, 4.07, 4, 0.89, 0.25
16, 0.00367380, 97.53, 35, 0.85083500, 1828.80, 100, 0.00, 0.05
17, 0.01337583, 96.96, 44, 0.21491600, 521.33, 100, 0.06, 0.19
18, 0.00722803, 63.82, 51, 0.30975300, 513.24, 100, 0.02, 0.12
