BENCH: inception_v3
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
50, 0.00004398, 0.00000000, 73.01, 146.28, 13, 0.00004398, 0.00000000, 73.27, 10, 0.00001420, 0.00000003, 937.84, 128, 1.00, 0.32, 0.50, 6.41, 0.00000000
51, 0.00002663, 0.00000000, 13.09, 86.36, 15, 0.00002663, 0.00000000, 73.27, 10, 0.00001231, 0.00000000, 1875.69, 256, 1.00, 0.46, 0.85, 21.72, 0.00000000
52, 0.00000215, 0.00000000, 6.35, 79.62, 2, 0.00000215, 0.00000000, 73.27, 10, 0.00000215, 0.00000000, 468.92, 64, 1.00, 1.00, 0.92, 5.89, 1.00000000
53, 0.00003148, 0.00000000, 20.17, 93.44, 16, 0.00003148, 0.00000000, 73.27, 10, 0.00002193, 0.00000001, 937.84, 128, 1.00, 0.70, 0.78, 10.04, 0.00000000
54, 0.00008638, 0.00000000, 21.51, 94.78, 13, 0.00008638, 0.00000000, 73.27, 10, 0.00002073, 0.00000004, 2344.61, 320, 1.00, 0.24, 0.77, 24.74, 0.00000000
55, 0.00003100, 0.00000000, 16.83, 90.10, 11, 0.00003100, 0.00000000, 73.27, 10, 0.00000738, 0.00000000, 937.84, 128, 1.00, 0.24, 0.81, 10.41, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), std Ansor-25, tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k, p-value
0, 0.00000864, 0.00000002, 11.28, 194.45, 11, 0.00000864, 0.00000002, 183.17, 25, 0.00000721, 0.00000000, 937.84, 128, 1.00, 0.83, 0.94, 4.82, 0.00000002
1, 0.00002538, 0.00000000, 18.38, 201.55, 15, 0.00002538, 0.00000000, 183.17, 25, 0.00002380, 0.00000000, 937.84, 128, 1.00, 0.94, 0.91, 4.65, 0.00000000
2, 0.00006062, 0.00000000, 19.56, 202.73, 11, 0.00006062, 0.00000000, 183.17, 25, 0.00001589, 0.00000001, 2344.61, 320, 1.00, 0.26, 0.90, 11.57, 0.00000000
3, 0.00000754, 0.00000001, 11.51, 194.68, 13, 0.00000754, 0.00000001, 183.17, 25, 0.00000754, 0.00000001, 468.92, 64, 1.00, 1.00, 0.94, 2.41, 1.00000000
4, 0.00007973, 0.00000001, 11.76, 194.93, 11, 0.00007973, 0.00000001, 183.17, 25, 0.00002165, 0.00000005, 937.84, 128, 1.00, 0.27, 0.94, 4.81, 0.00000000
5, 0.00002326, 0.00000001, 16.36, 199.53, 15, 0.00002326, 0.00000001, 183.17, 25, 0.00001404, 0.00000003, 5627.06, 768, 1.00, 0.60, 0.92, 28.20, 0.00000000
6, 0.00003437, 0.00000008, 18.09, 201.26, 15, 0.00003437, 0.00000008, 183.17, 25, 0.00003207, 0.00000018, 1406.76, 192, 1.00, 0.93, 0.91, 6.99, 0.00008348
7, 0.00002032, 0.00000003, 12.87, 196.04, 11, 0.00002032, 0.00000003, 183.17, 25, 0.00001241, 0.00000000, 2344.61, 320, 1.00, 0.61, 0.93, 11.96, 0.00000000
8, 0.00000216, 0.00000000, 9.79, 192.96, 11, 0.00000216, 0.00000000, 183.17, 25, 0.00000216, 0.00000000, 468.92, 64, 1.00, 1.00, 0.95, 2.43, 1.00000000
9, 0.00003196, 0.00000015, 18.14, 201.31, 21, 0.00004993, 0.00000000, 183.17, 25, 0.00002848, 0.00000000, 1406.76, 192, 1.56, 0.89, 0.91, 6.99, 0.00000542
10, 0.00002060, 0.00000002, 19.30, 202.47, 11, 0.00002060, 0.00000002, 183.17, 25, 0.00001505, 0.00000000, 937.84, 128, 1.00, 0.73, 0.90, 4.63, 0.00000000
11, 0.00002283, 0.00000000, 11.71, 194.88, 11, 0.00002283, 0.00000000, 183.17, 25, 0.00000854, 0.00000001, 1406.76, 192, 1.00, 0.37, 0.94, 7.22, 0.00000000
12, 0.00002552, 0.00000000, 10.20, 193.37, 8, 0.00002552, 0.00000000, 183.17, 25, 0.00001088, 0.00000000, 2344.61, 320, 1.00, 0.43, 0.95, 12.13, 0.00000000
13, 0.00002929, 0.00000000, 11.57, 194.75, 11, 0.00002929, 0.00000000, 183.17, 25, 0.00001748, 0.00000000, 937.84, 128, 1.00, 0.60, 0.94, 4.82, 0.00000000
14, 0.00000416, 0.00000000, 11.13, 194.31, 13, 0.00000416, 0.00000000, 183.17, 25, 0.00000414, 0.00000000, 468.92, 64, 1.00, 1.00, 0.94, 2.41, 0.01092363
15, 0.00002788, 0.00000000, 21.61, 204.79, 13, 0.00002788, 0.00000000, 183.17, 25, 0.00001677, 0.00000002, 2813.53, 384, 1.00, 0.60, 0.89, 13.74, 0.00000000
16, 0.00000418, 0.00000001, 10.60, 193.77, 13, 0.00000418, 0.00000001, 183.17, 25, 0.00000418, 0.00000001, 468.92, 64, 1.00, 1.00, 0.95, 2.42, 1.00000000
17, 0.00007780, 0.00000020, 10.53, 193.70, 11, 0.00007780, 0.00000020, 183.17, 25, 0.00005905, 0.00000015, 2344.61, 320, 1.00, 0.76, 0.95, 12.10, 0.00000004
18, 0.00004301, 0.00000028, 80.82, 264.00, 55, 0.00005188, 0.00000000, 183.17, 25, 0.00001934, 0.00000003, 2813.53, 384, 1.21, 0.45, 0.69, 10.66, 0.00000003
