BENCH: squeezenet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
13, 0.00001706, 0.00000000, 12.08, 383.76, 11, 0.00001706, 0.00000000, 371.68, 50, 0.00000884, 0.00000000, 6184.78, 832, 1.00, 0.52, 0.97, 16.12, 0.00000000
14, 0.00000257, 0.00000000, 5.79, 377.47, 2, 0.00000257, 0.00000000, 371.68, 50, 0.00000257, 0.00000000, 631.86, 85, 1.00, 1.00, 0.98, 1.67, 1.00000000
15, 0.00000441, 0.00000000, 14.08, 385.76, 12, 0.00000441, 0.00000000, 371.68, 50, 0.00000350, 0.00000001, 2378.76, 320, 1.00, 0.79, 0.96, 6.17, 0.00000001
16, 0.00002095, 0.00000001, 25.37, 397.06, 11, 0.00002095, 0.00000001, 371.68, 50, 0.00001204, 0.00000002, 8087.79, 1088, 1.00, 0.57, 0.94, 20.37, 0.00000000
17, 0.00001430, 0.00000000, 34.87, 406.55, 13, 0.00001430, 0.00000000, 371.68, 50, 0.00000977, 0.00000000, 6660.53, 896, 1.00, 0.68, 0.91, 16.38, 0.00000000
18, 0.00000439, 0.00000000, 16.77, 388.45, 12, 0.00000439, 0.00000000, 371.68, 50, 0.00000363, 0.00000000, 2854.51, 384, 1.00, 0.83, 0.96, 7.35, 0.00000000
19, 0.00001242, 0.00000000, 16.87, 388.55, 15, 0.00001242, 0.00000000, 371.68, 50, 0.00000806, 0.00000000, 2854.51, 384, 1.00, 0.65, 0.96, 7.35, 0.00000000
20, 0.00000363, 0.00000000, 10.68, 382.36, 11, 0.00000363, 0.00000000, 371.68, 50, 0.00000363, 0.00000000, 631.86, 85, 1.00, 1.00, 0.97, 1.65, 0.20090382
21, 0.00000563, 0.00000000, 13.58, 385.26, 15, 0.00000563, 0.00000000, 371.68, 50, 0.00000405, 0.00000000, 1427.26, 192, 1.00, 0.72, 0.96, 3.70, 0.00000000
22, 0.00001346, 0.00000000, 13.39, 385.07, 15, 0.00001346, 0.00000000, 371.68, 50, 0.00000544, 0.00000000, 2378.76, 320, 1.00, 0.40, 0.97, 6.18, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-100 (s), std Ansor-100, tuning time Ansor-100, task Ansor-100, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-100, speedup 10k, speed tuning time top-100, speed tuning time 10k, p-value
0, 0.00000379, 0.00000000, 17.66, 761.02, 17, 0.00000379, 0.00000000, 743.36, 100, 0.00000378, 0.00000000, 1427.26, 192, 1.00, 1.00, 0.98, 1.88, 0.00014898
1, 0.00003445, 0.00000001, 26.25, 769.61, 15, 0.00003445, 0.00000001, 743.36, 100, 0.00003240, 0.00000001, 10942.30, 1472, 1.00, 0.94, 0.97, 14.22, 0.00000001
2, 0.00000215, 0.00000001, 9.34, 381.03, 11, 0.00000215, 0.00000001, 371.68, 50, 0.00000215, 0.00000001, 371.68, 50, 1.00, 1.00, 0.98, 0.98, 1.00000000
