BENCH: vgg11
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00110148, 0.00000130, 18.28, 24.48, 15, 0.00110148, 0.00000130, 6.20,  1, 0.00030180, 0.00000126, 9524.22, 1536, 1.00, 0.27, 0.25, 389.00, 0.00000000
1, 0.00136909, 0.00000238, 50.10, 56.30, 27, 0.00155985, 0.00000046, 6.20,  1, 0.00012460, 0.00000024, 3968.43, 640, 1.14, 0.09, 0.11, 70.48, 0.00000000
2, 0.00005325, 0.00000028, 25.09, 31.29, 27, 0.00032299, 0.00000000, 6.20,  1, 0.00004817, 0.00000007, 1984.21, 320, 6.07, 0.90, 0.20, 63.42, 0.00001530
3, 0.00000374, 0.00000000, 9.65, 15.85, 11, 0.00000374, 0.00000000, 6.20,  1, 0.00000352, 0.00000000, 372.04, 60, 1.00, 0.94, 0.39, 23.47, 0.00000005
4, 0.00144883, 0.00000068, 66.06, 72.26, 39, 0.00241223, 0.00000022, 6.20,  1, 0.00013313, 0.00000021, 4365.27, 704, 1.66, 0.09, 0.09, 60.41, 0.00000000
5, 0.00367828, 0.00000438, 13.27, 19.47, 11, 0.00367828, 0.00000438, 6.20,  1, 0.00008800, 0.00000012, 2777.90, 448, 1.00, 0.02, 0.32, 142.66, 0.00000000
6, 0.00000757, 0.00000000, 12.68, 18.88, 13, 0.00000757, 0.00000000, 6.20,  1, 0.00000302, 0.00000000, 396.84, 64, 1.00, 0.40, 0.33, 21.02, 0.00000000
7, 0.00006438, 0.00000005, 17.10, 23.30, 11, 0.00006438, 0.00000005, 6.20,  1, 0.00003130, 0.00000009, 1190.53, 192, 1.00, 0.49, 0.27, 51.09, 0.00000000
8, 0.00079754, 0.00000090, 72.21, 78.41, 11, 0.00079754, 0.00000090, 6.20,  1, 0.00048741, 0.00000121, 15476.86, 2496, 1.00, 0.61, 0.08, 197.37, 0.00000000
9, 0.00001150, 0.00000000, 10.67, 16.87, 11, 0.00001150, 0.00000000, 6.20,  1, 0.00001119, 0.00000000, 372.04, 60, 1.00, 0.97, 0.37, 22.05, 0.00000018
10, 0.00206321, 0.00005088, 26.67, 32.87, 29, 0.00249330, 0.00000020, 6.20,  1, 0.00023554, 0.00000023, 7540.01, 1216, 1.21, 0.11, 0.19, 229.37, 0.00000090
11, 0.00000220, 0.00000000, 9.70, 15.90, 11, 0.00000220, 0.00000000, 6.20,  1, 0.00000217, 0.00000001, 372.04, 60, 1.00, 0.98, 0.39, 23.40, 0.00175564
12, 0.00000477, 0.00000000, 9.67, 15.87, 12, 0.00000477, 0.00000000, 6.20,  1, 0.00000415, 0.00000000, 396.84, 64, 1.00, 0.87, 0.39, 25.00, 0.00000000
13, 0.00026873, 0.00000068, 31.19, 37.39, 37, 0.00043797, 0.00000114, 6.20,  1, 0.00013043, 0.00000049, 8333.69, 1344, 1.63, 0.49, 0.17, 222.88, 0.00000000
14, 0.00022496, 0.00000078, 13.18, 19.38, 15, 0.00022496, 0.00000078, 6.20,  1, 0.00013855, 0.00000043, 4365.27, 704, 1.00, 0.62, 0.32, 225.20, 0.00000002
15, 0.00000571, 0.00000000, 5.93, 12.13, 2, 0.00000571, 0.00000000, 6.20,  1, 0.00000258, 0.00000000, 372.04, 60, 1.00, 0.45, 0.51, 30.68, 0.00000000
16, 0.00002110, 0.00000000, 11.34, 17.54, 11, 0.00002110, 0.00000000, 6.20,  1, 0.00002107, 0.00000001, 372.04, 60, 1.00, 1.00, 0.35, 21.21, 0.01949305
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), std Ansor-10, tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k, p-value
0, 0.00110148, 0.00000130, 18.22, 80.23, 15, 0.00110148, 0.00000130, 62.01, 10, 0.00030180, 0.00000126, 9524.22, 1536, 1.00, 0.27, 0.77, 118.71, 0.00000000
1, 0.00018841, 0.00000058, 24.01, 86.01, 11, 0.00018841, 0.00000058, 62.01, 10, 0.00012460, 0.00000024, 3968.43, 640, 1.00, 0.66, 0.72, 46.14, 0.00000001
2, 0.00009590, 0.00000027, 22.48, 84.48, 35, 0.00014041, 0.00000000, 62.01, 10, 0.00004817, 0.00000007, 1984.21, 320, 1.46, 0.50, 0.73, 23.49, 0.00000000
3, 0.00000352, 0.00000000, 10.47, 72.48, 11, 0.00000352, 0.00000000, 62.01, 10, 0.00000352, 0.00000000, 372.04, 60, 1.00, 1.00, 0.86, 5.13, 0.71969941
4, 0.00021140, 0.00000065, 15.10, 77.11, 11, 0.00021140, 0.00000065, 62.01, 10, 0.00013313, 0.00000021, 4365.27, 704, 1.00, 0.63, 0.80, 56.61, 0.00000001
5, 0.00014338, 0.00000003, 32.53, 94.53, 35, 0.00017873, 0.00000006, 62.01, 10, 0.00008800, 0.00000012, 2777.90, 448, 1.25, 0.61, 0.66, 29.39, 0.00000000
6, 0.00000757, 0.00000000, 12.68, 74.68, 13, 0.00000757, 0.00000000, 62.01, 10, 0.00000302, 0.00000000, 396.84, 64, 1.00, 0.40, 0.83, 5.31, 0.00000000
7, 0.00006438, 0.00000005, 17.14, 79.14, 11, 0.00006438, 0.00000005, 62.01, 10, 0.00003130, 0.00000009, 1190.53, 192, 1.00, 0.49, 0.78, 15.04, 0.00000000
8, 0.00079754, 0.00000090, 72.27, 134.27, 11, 0.00079754, 0.00000090, 62.01, 10, 0.00048741, 0.00000121, 15476.86, 2496, 1.00, 0.61, 0.46, 115.26, 0.00000000
9, 0.00001121, 0.00000001, 10.94, 72.95, 11, 0.00001121, 0.00000001, 62.01, 10, 0.00001119, 0.00000000, 372.04, 60, 1.00, 1.00, 0.85, 5.10, 0.09181035
10, 0.00044484, 0.00000166, 15.41, 77.42, 15, 0.00044484, 0.00000166, 62.01, 10, 0.00023554, 0.00000023, 7540.01, 1216, 1.00, 0.53, 0.80, 97.39, 0.00000001
11, 0.00000219, 0.00000000, 9.84, 71.84, 11, 0.00000219, 0.00000000, 62.01, 10, 0.00000217, 0.00000001, 372.04, 60, 1.00, 0.99, 0.86, 5.18, 0.01669737
12, 0.00000415, 0.00000000, 10.21, 72.22, 12, 0.00000415, 0.00000000, 62.01, 10, 0.00000415, 0.00000000, 396.84, 64, 1.00, 1.00, 0.86, 5.50, 1.00000000
13, 0.00026477, 0.00000057, 18.29, 80.30, 11, 0.00026477, 0.00000057, 62.01, 10, 0.00013043, 0.00000049, 8333.69, 1344, 1.00, 0.49, 0.77, 103.78, 0.00000000
14, 0.00022496, 0.00000078, 13.13, 75.13, 15, 0.00022496, 0.00000078, 62.01, 10, 0.00013855, 0.00000043, 4365.27, 704, 1.00, 0.62, 0.83, 58.10, 0.00000002
15, 0.00000270, 0.00000001, 9.75, 71.76, 11, 0.00000270, 0.00000001, 62.01, 10, 0.00000258, 0.00000000, 372.04, 60, 1.00, 0.96, 0.86, 5.18, 0.00004977
16, 0.00002107, 0.00000001, 11.41, 73.42, 11, 0.00002107, 0.00000001, 62.01, 10, 0.00002107, 0.00000001, 372.04, 60, 1.00, 1.00, 0.84, 5.07, 1.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), std Ansor-25, tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k, p-value
0, 0.00110148, 0.00000130, 18.22, 173.24, 15, 0.00110148, 0.00000130, 155.02, 25, 0.00030180, 0.00000126, 9524.22, 1536, 1.00, 0.27, 0.89, 54.98, 0.00000000
1, 0.00017412, 0.00000046, 16.27, 171.29, 11, 0.00017412, 0.00000046, 155.02, 25, 0.00012460, 0.00000024, 3968.43, 640, 1.00, 0.72, 0.91, 23.17, 0.00000002
2, 0.00005325, 0.00000000, 17.22, 172.23, 17, 0.00006054, 0.00000000, 155.02, 25, 0.00004817, 0.00000007, 1984.21, 320, 1.14, 0.90, 0.90, 11.52, 0.00000006
3, 0.00000352, 0.00000000, 10.47, 165.48, 11, 0.00000352, 0.00000000, 155.02, 25, 0.00000352, 0.00000000, 372.04, 60, 1.00, 1.00, 0.94, 2.25, 0.71969941
4, 0.00021140, 0.00000065, 15.08, 170.10, 11, 0.00021140, 0.00000065, 155.02, 25, 0.00013313, 0.00000021, 4365.27, 704, 1.00, 0.63, 0.91, 25.66, 0.00000001
5, 0.00014446, 0.00000041, 43.85, 198.86, 46, 0.00017873, 0.00000006, 155.02, 25, 0.00008800, 0.00000012, 2777.90, 448, 1.24, 0.61, 0.78, 13.97, 0.00000001
6, 0.00000341, 0.00000000, 12.84, 167.86, 13, 0.00000341, 0.00000000, 155.02, 25, 0.00000302, 0.00000000, 396.84, 64, 1.00, 0.89, 0.92, 2.36, 0.00000000
7, 0.00005359, 0.00000026, 16.42, 171.43, 11, 0.00005359, 0.00000026, 155.02, 25, 0.00003130, 0.00000009, 1190.53, 192, 1.00, 0.58, 0.90, 6.94, 0.00000003
8, 0.00079754, 0.00000090, 72.25, 227.26, 11, 0.00079754, 0.00000090, 155.02, 25, 0.00048741, 0.00000121, 15476.86, 2496, 1.00, 0.61, 0.68, 68.10, 0.00000000
9, 0.00001119, 0.00000000, 10.94, 165.95, 11, 0.00001119, 0.00000000, 155.02, 25, 0.00001119, 0.00000000, 372.04, 60, 1.00, 1.00, 0.93, 2.24, 1.00000000
10, 0.00044484, 0.00000166, 15.37, 170.39, 15, 0.00044484, 0.00000166, 155.02, 25, 0.00023554, 0.00000023, 7540.01, 1216, 1.00, 0.53, 0.91, 44.25, 0.00000001
11, 0.00000217, 0.00000000, 9.82, 164.83, 11, 0.00000217, 0.00000000, 155.02, 25, 0.00000217, 0.00000001, 372.04, 60, 1.00, 1.00, 0.94, 2.26, 0.57180436
12, 0.00000415, 0.00000000, 10.21, 165.22, 12, 0.00000415, 0.00000000, 155.02, 25, 0.00000415, 0.00000000, 396.84, 64, 1.00, 1.00, 0.94, 2.40, 1.00000000
13, 0.00023924, 0.00000081, 13.95, 168.96, 11, 0.00023924, 0.00000081, 155.02, 25, 0.00013043, 0.00000049, 8333.69, 1344, 1.00, 0.55, 0.92, 49.32, 0.00000001
14, 0.00022496, 0.00000078, 13.18, 168.20, 15, 0.00022496, 0.00000078, 155.02, 25, 0.00013855, 0.00000043, 4365.27, 704, 1.00, 0.62, 0.92, 25.95, 0.00000002
15, 0.00000258, 0.00000000, 10.23, 165.25, 11, 0.00000258, 0.00000000, 155.02, 25, 0.00000258, 0.00000000, 372.04, 60, 1.00, 1.00, 0.94, 2.25, 0.06578616
16, 0.00002107, 0.00000001, 11.37, 166.39, 11, 0.00002107, 0.00000001, 155.02, 25, 0.00002107, 0.00000001, 372.04, 60, 1.00, 1.00, 0.93, 2.24, 1.00000000
