BENCH: alexnet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-100 (s), std Ansor-100, tuning time Ansor-100, task Ansor-100, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-100, speedup 10k, speed tuning time top-100, speed tuning time 10k, p-value
0, 0.00005451, 0.00000009, 27.63, 618.35, 13, 0.00005451, 0.00000009, 590.72, 100, 0.00004951, 0.00000012, 5670.90, 960, 1.00, 0.91, 0.96, 9.17, 0.00000139
1, 0.00004619, 0.00000000, 11.78, 602.50, 11, 0.00004619, 0.00000000, 590.72, 100, 0.00003503, 0.00000001, 3780.60, 640, 1.00, 0.76, 0.98, 6.27, 0.00000000
2, 0.00000218, 0.00000000, 9.82, 387.88, 11, 0.00000218, 0.00000000, 378.06, 64, 0.00000218, 0.00000000, 378.06, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
3, 0.00004782, 0.00000009, 25.88, 616.59, 11, 0.00004782, 0.00000009, 590.72, 100, 0.00004270, 0.00000011, 4914.78, 832, 1.00, 0.89, 0.96, 7.97, 0.00000092
4, 0.00027725, 0.00000127, 30.93, 621.64, 25, 0.00028152, 0.00000024, 590.72, 100, 0.00018592, 0.00000025, 20037.18, 3392, 1.02, 0.67, 0.95, 32.23, 0.00000006
5, 0.00000302, 0.00000000, 12.55, 390.61, 14, 0.00000302, 0.00000000, 378.06, 64, 0.00000302, 0.00000000, 378.06, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
6, 0.00006469, 0.00000014, 24.12, 614.84, 11, 0.00006469, 0.00000014, 590.72, 100, 0.00006005, 0.00000008, 6427.02, 1088, 1.00, 0.93, 0.96, 10.45, 0.00000235
7, 0.00000416, 0.00000000, 10.40, 601.12, 12, 0.00000416, 0.00000000, 590.72, 100, 0.00000415, 0.00000000, 756.12, 128, 1.00, 1.00, 0.98, 1.26, 0.40203453
8, 0.00002350, 0.00000000, 23.25, 613.96, 13, 0.00002350, 0.00000000, 590.72, 100, 0.00001875, 0.00000006, 2268.36, 384, 1.00, 0.80, 0.96, 3.69, 0.00000003
9, 0.00000216, 0.00000000, 6.15, 384.21, 2, 0.00000216, 0.00000000, 378.06, 64, 0.00000216, 0.00000000, 378.06, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
10, 0.00000217, 0.00000000, 9.17, 387.23, 11, 0.00000217, 0.00000000, 378.06, 64, 0.00000217, 0.00000000, 378.06, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
11, 0.00005169, 0.00000001, 27.92, 618.64, 16, 0.00005169, 0.00000001, 590.72, 100, 0.00003982, 0.00000012, 4536.72, 768, 1.00, 0.77, 0.95, 7.33, 0.00000002
12, 0.00009182, 0.00000021, 15.42, 606.14, 12, 0.00009182, 0.00000021, 590.72, 100, 0.00008797, 0.00000014, 9451.50, 1600, 1.00, 0.96, 0.97, 15.59, 0.00002478
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-200 (s), std Ansor-200, tuning time Ansor-200, task Ansor-200, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-200, speedup 10k, speed tuning time top-200, speed tuning time 10k, p-value
0, 0.00005089, 0.00000007, 29.51, 1210.95, 13, 0.00005089, 0.00000007, 1181.44, 200, 0.00004951, 0.00000012, 5670.90, 960, 1.00, 0.97, 0.98, 4.68, 0.00015449
1, 0.00003993, 0.00000028, 43.30, 1224.74, 42, 0.00004570, 0.00000003, 1181.44, 200, 0.00003503, 0.00000001, 3780.60, 640, 1.14, 0.88, 0.96, 3.09, 0.00001558
2, 0.00000218, 0.00000000, 9.85, 387.91, 11, 0.00000218, 0.00000000, 378.06, 64, 0.00000218, 0.00000000, 378.06, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
3, 0.00004412, 0.00000010, 24.32, 1205.76, 11, 0.00004412, 0.00000010, 1181.44, 200, 0.00004270, 0.00000011, 4914.78, 832, 1.00, 0.97, 0.98, 4.08, 0.00017742
4, 0.00018963, 0.00000040, 26.20, 1207.64, 26, 0.00018971, 0.00000036, 1181.44, 200, 0.00018592, 0.00000025, 20037.18, 3392, 1.00, 0.98, 0.98, 16.59, 0.00035927
5, 0.00000302, 0.00000000, 12.54, 390.60, 14, 0.00000302, 0.00000000, 378.06, 64, 0.00000302, 0.00000000, 378.06, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
6, 0.00006073, 0.00000023, 26.53, 1207.97, 11, 0.00006073, 0.00000023, 1181.44, 200, 0.00006005, 0.00000008, 6427.02, 1088, 1.00, 0.99, 0.98, 5.32, 0.01631084
7, 0.00000415, 0.00000000, 10.28, 766.40, 12, 0.00000415, 0.00000000, 756.12, 128, 0.00000415, 0.00000000, 756.12, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
8, 0.00001893, 0.00000005, 60.36, 1241.80, 11, 0.00001893, 0.00000005, 1181.44, 200, 0.00001875, 0.00000006, 2268.36, 384, 1.00, 0.99, 0.95, 1.83, 0.02602076
9, 0.00000216, 0.00000000, 6.14, 384.20, 2, 0.00000216, 0.00000000, 378.06, 64, 0.00000216, 0.00000000, 378.06, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
10, 0.00000217, 0.00000000, 9.15, 387.21, 11, 0.00000217, 0.00000000, 378.06, 64, 0.00000217, 0.00000000, 378.06, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
