BENCH: densenet169
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
35, 0.00004299, 0.00000028, 14.43, 21.55, 21, 0.00004674, 0.00000000, 7.11,  1, 0.00001698, 0.00000003, 910.28, 128, 1.09, 0.40, 0.33, 42.25, 0.00000002
36, 0.00156513, 0.00000012, 19.35, 26.46, 11, 0.00156513, 0.00000012, 7.11,  1, 0.00002309, 0.00000001, 455.14, 64, 1.00, 0.01, 0.27, 17.20, 0.00000000
37, 0.00000580, 0.00000028, 16.96, 24.07, 26, 0.00003307, 0.00000005, 7.11,  1, 0.00000417, 0.00000000, 455.14, 64, 5.70, 0.72, 0.30, 18.91, 0.00115811
38, 0.00003718, 0.00000026, 33.32, 40.43, 51, 0.00004819, 0.00000001, 7.11,  1, 0.00000992, 0.00000000, 455.14, 64, 1.30, 0.27, 0.18, 11.26, 0.00000001
39, 0.00004949, 0.00000002, 17.51, 24.62, 15, 0.00004949, 0.00000002, 7.11,  1, 0.00001832, 0.00000000, 910.28, 128, 1.00, 0.37, 0.29, 36.97, 0.00000000
40, 0.00004090, 0.00000000, 13.55, 20.66, 15, 0.00004090, 0.00000000, 7.11,  1, 0.00001944, 0.00000005, 455.14, 64, 1.00, 0.48, 0.34, 22.03, 0.00000000
41, 0.00038571, 0.00000048, 73.90, 81.01, 30, 0.00045345, 0.00000002, 7.11,  1, 0.00002585, 0.00000004, 910.28, 128, 1.18, 0.07, 0.09, 11.24, 0.00000000
42, 0.00008323, 0.00000000, 12.18, 19.29, 11, 0.00008323, 0.00000000, 7.11,  1, 0.00002079, 0.00000005, 455.14, 64, 1.00, 0.25, 0.37, 23.59, 0.00000000
43, 0.00001480, 0.00000000, 21.56, 28.67, 17, 0.00001480, 0.00000000, 7.11,  1, 0.00001168, 0.00000000, 455.14, 64, 1.00, 0.79, 0.25, 15.88, 0.00000000
44, 0.00000443, 0.00000027, 40.52, 47.63, 65, 0.00001720, 0.00000000, 7.11,  1, 0.00000304, 0.00000000, 455.14, 64, 3.88, 0.69, 0.15, 9.56, 0.00199000
45, 0.00005894, 0.00000015, 20.90, 28.01, 11, 0.00005894, 0.00000015, 7.11,  1, 0.00002688, 0.00000007, 910.28, 128, 1.00, 0.46, 0.25, 32.50, 0.00000000
46, 0.00014278, 0.00000017, 20.84, 27.96, 27, 0.00014952, 0.00000041, 7.11,  1, 0.00001434, 0.00000000, 910.28, 128, 1.05, 0.10, 0.25, 32.56, 0.00000000
47, 0.00001411, 0.00000016, 16.58, 23.69, 23, 0.00001534, 0.00000004, 7.11,  1, 0.00001513, 0.00000000, 455.14, 64, 1.09, 1.07, 0.30, 19.21, 0.00084452
48, 0.00002713, 0.00000000, 15.88, 22.99, 12, 0.00002713, 0.00000000, 7.11,  1, 0.00000961, 0.00000001, 455.14, 64, 1.00, 0.35, 0.31, 19.79, 0.00000000
49, 0.00004021, 0.00000010, 12.08, 19.20, 15, 0.00004021, 0.00000010, 7.11,  1, 0.00002039, 0.00000006, 455.14, 64, 1.00, 0.51, 0.37, 23.71, 0.00000000
50, 0.00020332, 0.00000032, 46.48, 53.59, 57, 0.00033861, 0.00000001, 7.11,  1, 0.00002340, 0.00000000, 455.14, 64, 1.67, 0.12, 0.13, 8.49, 0.00000000
51, 0.00003650, 0.00000003, 37.49, 44.60, 49, 0.00007802, 0.00000001, 7.11,  1, 0.00001935, 0.00000000, 455.14, 64, 2.14, 0.53, 0.16, 10.21, 0.00000000
52, 0.00007293, 0.00000016, 29.93, 37.04, 31, 0.00010923, 0.00000000, 7.11,  1, 0.00000826, 0.00000000, 5916.81, 832, 1.50, 0.11, 0.19, 159.74, 0.00000000
53, 0.00022881, 0.00000016, 40.90, 48.01, 34, 0.00038776, 0.00000175, 7.11,  1, 0.00002246, 0.00000006, 910.28, 128, 1.69, 0.10, 0.15, 18.96, 0.00000000
54, 0.00012948, 0.00000016, 27.34, 34.45, 27, 0.00015990, 0.00000031, 7.11,  1, 0.00001670, 0.00000000, 910.28, 128, 1.23, 0.13, 0.21, 26.42, 0.00000000
55, 0.00002915, 0.00000000, 10.16, 17.27, 11, 0.00002915, 0.00000000, 7.11,  1, 0.00001838, 0.00000000, 455.14, 64, 1.00, 0.63, 0.41, 26.35, 0.00000000
56, 0.00008624, 0.00000032, 28.73, 35.84, 40, 0.00010882, 0.00000001, 7.11,  1, 0.00001099, 0.00000000, 910.28, 128, 1.26, 0.13, 0.20, 25.40, 0.00000000
57, 0.00005031, 0.00000015, 47.78, 54.89, 65, 0.00006602, 0.00000000, 7.11,  1, 0.00002290, 0.00000006, 455.14, 64, 1.31, 0.46, 0.13, 8.29, 0.00000000
58, 0.00001946, 0.00000003, 15.53, 22.64, 16, 0.00001946, 0.00000003, 7.11,  1, 0.00001946, 0.00000003, 455.14, 64, 1.00, 1.00, 0.31, 20.10, 1.00000000
59, 0.00002343, 0.00000000, 11.65, 18.76, 11, 0.00002343, 0.00000000, 7.11,  1, 0.00001132, 0.00000000, 455.14, 64, 1.00, 0.48, 0.38, 24.26, 0.00000000
60, 0.00007144, 0.00000000, 14.49, 21.61, 15, 0.00007144, 0.00000000, 7.11,  1, 0.00002500, 0.00000000, 455.14, 64, 1.00, 0.35, 0.33, 21.07, 0.00000000
61, 0.00002501, 0.00000018, 30.82, 37.93, 48, 0.00005088, 0.00000001, 7.11,  1, 0.00001763, 0.00000000, 455.14, 64, 2.03, 0.71, 0.19, 12.00, 0.00000051
62, 0.00004677, 0.00000002, 24.32, 31.43, 28, 0.00004923, 0.00000000, 7.11,  1, 0.00001060, 0.00000002, 455.14, 64, 1.05, 0.23, 0.23, 14.48, 0.00000000
63, 0.00006782, 0.00000031, 30.16, 37.27, 26, 0.00014557, 0.00000001, 7.11,  1, 0.00000853, 0.00000000, 5461.67, 768, 2.15, 0.13, 0.19, 146.54, 0.00000000
64, 0.00002591, 0.00000003, 13.54, 20.65, 11, 0.00002591, 0.00000003, 7.11,  1, 0.00001471, 0.00000000, 455.14, 64, 1.00, 0.57, 0.34, 22.04, 0.00000000
65, 0.00005213, 0.00000001, 14.12, 21.23, 11, 0.00005213, 0.00000001, 7.11,  1, 0.00002152, 0.00000000, 455.14, 64, 1.00, 0.41, 0.34, 21.44, 0.00000000
66, 0.00020457, 0.00000001, 17.75, 24.86, 15, 0.00020457, 0.00000001, 7.11,  1, 0.00001783, 0.00000003, 910.28, 128, 1.00, 0.09, 0.29, 36.61, 0.00000000
67, 0.00003559, 0.00000017, 28.18, 35.29, 46, 0.00005081, 0.00000000, 7.11,  1, 0.00001257, 0.00000000, 455.14, 64, 1.43, 0.35, 0.20, 12.90, 0.00000000
68, 0.00000660, 0.00000016, 22.46, 29.57, 39, 0.00002121, 0.00000000, 7.11,  1, 0.00000495, 0.00000000, 455.14, 64, 3.21, 0.75, 0.24, 15.39, 0.00013150
69, 0.00018909, 0.00000044, 24.63, 31.74, 36, 0.00026327, 0.00000041, 7.11,  1, 0.00002362, 0.00000000, 455.14, 64, 1.39, 0.12, 0.22, 14.34, 0.00000000
70, 0.00001752, 0.00000043, 20.86, 27.97, 27, 0.00001771, 0.00000000, 7.11,  1, 0.00001395, 0.00000003, 455.14, 64, 1.01, 0.80, 0.25, 16.27, 0.00029161
71, 0.00014979, 0.00000001, 37.50, 44.61, 11, 0.00014979, 0.00000001, 7.11,  1, 0.00001393, 0.00000000, 3185.98, 448, 1.00, 0.09, 0.16, 71.42, 0.00000000
72, 0.00004925, 0.00000000, 15.39, 22.50, 15, 0.00004925, 0.00000000, 7.11,  1, 0.00001978, 0.00000000, 455.14, 64, 1.00, 0.40, 0.32, 20.23, 0.00000000
73, 0.00406893, 0.00000078, 43.61, 50.72, 27, 0.00464723, 0.00000014, 7.11,  1, 0.00002328, 0.00000006, 910.28, 128, 1.14, 0.01, 0.14, 17.95, 0.00000000
