BENCH: googlenet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00008917, 0.00000000, 15.99, 22.99, 15, 0.00008917, 0.00000000, 7.00,  1, 0.00002212, 0.00000003, 2240.84, 320, 1.00, 0.25, 0.30, 97.46, 0.00000000
1, 0.00007042, 0.00000001, 13.06, 20.06, 16, 0.00007042, 0.00000001, 7.00,  1, 0.00001040, 0.00000000, 896.34, 128, 1.00, 0.15, 0.35, 44.68, 0.00000000
2, 0.00000364, 0.00000001, 6.00, 13.00, 2, 0.00000364, 0.00000001, 7.00,  1, 0.00000256, 0.00000000, 420.16, 60, 1.00, 0.70, 0.54, 32.31, 0.00000002
3, 0.00036693, 0.00000002, 94.73, 101.73, 11, 0.00036693, 0.00000002, 7.00,  1, 0.00002379, 0.00000001, 2240.84, 320, 1.00, 0.06, 0.07, 22.03, 0.00000000
4, 0.00001921, 0.00000000, 12.64, 19.64, 11, 0.00001921, 0.00000000, 7.00,  1, 0.00001043, 0.00000000, 896.34, 128, 1.00, 0.54, 0.36, 45.63, 0.00000000
5, 0.00003325, 0.00000000, 12.56, 19.56, 15, 0.00003325, 0.00000000, 7.00,  1, 0.00000730, 0.00000000, 896.34, 128, 1.00, 0.22, 0.36, 45.83, 0.00000000
6, 0.00001969, 0.00000000, 15.46, 22.47, 13, 0.00001969, 0.00000000, 7.00,  1, 0.00000483, 0.00000000, 896.34, 128, 1.00, 0.25, 0.31, 39.90, 0.00000000
7, 0.00002132, 0.00000000, 13.37, 20.37, 15, 0.00002132, 0.00000000, 7.00,  1, 0.00000584, 0.00000000, 448.17, 64, 1.00, 0.27, 0.34, 22.00, 0.00000000
8, 0.00002281, 0.00000000, 13.73, 20.73, 15, 0.00002281, 0.00000000, 7.00,  1, 0.00000529, 0.00000000, 896.34, 128, 1.00, 0.23, 0.34, 43.24, 0.00000000
9, 0.00004324, 0.00000032, 19.27, 26.27, 21, 0.00005617, 0.00000001, 7.00,  1, 0.00000419, 0.00000000, 896.34, 128, 1.30, 0.10, 0.27, 34.12, 0.00000001
10, 0.00000346, 0.00000000, 10.77, 17.77, 11, 0.00000346, 0.00000000, 7.00,  1, 0.00000298, 0.00000000, 448.17, 64, 1.00, 0.86, 0.39, 25.22, 0.00000000
11, 0.00003730, 0.00000017, 31.88, 38.88, 62, 0.00005891, 0.00000000, 7.00,  1, 0.00000985, 0.00000000, 896.34, 128, 1.58, 0.26, 0.18, 23.05, 0.00000000
12, 0.00001035, 0.00000016, 69.12, 76.12, 58, 0.00004163, 0.00000000, 7.00,  1, 0.00000523, 0.00000000, 896.34, 128, 4.02, 0.51, 0.09, 11.78, 0.00000155
13, 0.00021285, 0.00000516, 57.93, 64.93, 47, 0.00050001, 0.00000007, 7.00,  1, 0.00000878, 0.00000000, 896.34, 128, 2.35, 0.04, 0.11, 13.80, 0.00000061
14, 0.00006030, 0.00000032, 39.19, 46.19, 44, 0.00006825, 0.00000000, 7.00,  1, 0.00001038, 0.00000002, 896.34, 128, 1.13, 0.17, 0.15, 19.40, 0.00000000
15, 0.00000418, 0.00000001, 11.16, 18.16, 13, 0.00000418, 0.00000001, 7.00,  1, 0.00000413, 0.00000000, 448.17, 64, 1.00, 0.99, 0.39, 24.67, 0.00126315
16, 0.00002264, 0.00000016, 30.66, 37.67, 25, 0.00003951, 0.00000005, 7.00,  1, 0.00000570, 0.00000000, 448.17, 64, 1.75, 0.25, 0.19, 11.90, 0.00000001
17, 0.00000242, 0.00000000, 9.68, 16.68, 11, 0.00000242, 0.00000000, 7.00,  1, 0.00000215, 0.00000001, 448.17, 64, 1.00, 0.89, 0.42, 26.87, 0.00000052
18, 0.00003177, 0.00000000, 13.03, 20.03, 16, 0.00003177, 0.00000000, 7.00,  1, 0.00000778, 0.00000000, 896.34, 128, 1.00, 0.24, 0.35, 44.75, 0.00000000
19, 0.00003830, 0.00000000, 15.85, 22.85, 14, 0.00003830, 0.00000000, 7.00,  1, 0.00000741, 0.00000000, 896.34, 128, 1.00, 0.19, 0.31, 39.23, 0.00000000
20, 0.00000251, 0.00000000, 10.35, 17.36, 11, 0.00000251, 0.00000000, 7.00,  1, 0.00000249, 0.00000000, 448.17, 64, 1.00, 0.99, 0.40, 25.82, 0.00004880
21, 0.00001773, 0.00000001, 12.95, 19.96, 11, 0.00001773, 0.00000001, 7.00,  1, 0.00000622, 0.00000000, 896.34, 128, 1.00, 0.35, 0.35, 44.92, 0.00000000
22, 0.00085164, 0.00000281, 46.69, 53.69, 13, 0.00085164, 0.00000281, 7.00,  1, 0.00002635, 0.00000005, 2240.84, 320, 1.00, 0.03, 0.13, 41.73, 0.00000000
23, 0.00000773, 0.00000015, 41.77, 48.77, 51, 0.00000912, 0.00000000, 7.00,  1, 0.00000410, 0.00000000, 448.17, 64, 1.18, 0.53, 0.14, 9.19, 0.00000485
24, 0.00002950, 0.00000000, 10.94, 17.94, 11, 0.00002950, 0.00000000, 7.00,  1, 0.00000893, 0.00000000, 1344.50, 192, 1.00, 0.30, 0.39, 74.93, 0.00000000
25, 0.00001372, 0.00000000, 11.73, 18.73, 13, 0.00001372, 0.00000000, 7.00,  1, 0.00000743, 0.00000000, 1792.67, 256, 1.00, 0.54, 0.37, 95.70, 0.00000000
26, 0.00006851, 0.00000000, 12.81, 19.82, 11, 0.00006851, 0.00000000, 7.00,  1, 0.00001199, 0.00000000, 1344.50, 192, 1.00, 0.18, 0.35, 67.85, 0.00000000
