BENCH: vgg19
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
13, 0.00000216, 0.00000000, 9.58, 390.60, 11, 0.00000216, 0.00000000, 381.02, 60, 0.00000216, 0.00000000, 381.02, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
14, 0.00000413, 0.00000000, 11.02, 417.44, 13, 0.00000413, 0.00000000, 406.42, 64, 0.00000413, 0.00000000, 406.42, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
15, 0.00017346, 0.00000044, 18.14, 1288.20, 11, 0.00017346, 0.00000044, 1270.06, 200, 0.00016402, 0.00000043, 2844.93, 448, 1.00, 0.95, 0.99, 2.21, 0.00002627
16, 0.00013537, 0.00000026, 29.03, 1299.09, 15, 0.00013537, 0.00000026, 1270.06, 200, 0.00013458, 0.00000029, 2438.51, 384, 1.00, 0.99, 0.98, 1.88, 0.04520020
17, 0.00002106, 0.00000000, 7.18, 388.20, 2, 0.00002106, 0.00000000, 381.02, 60, 0.00002106, 0.00000000, 381.02, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
18, 0.00000259, 0.00000000, 10.09, 391.11, 11, 0.00000259, 0.00000000, 381.02, 60, 0.00000259, 0.00000000, 381.02, 60, 1.00, 1.00, 0.97, 0.97, 1.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00028586, 0.00000068, 29.56, 1934.65, 13, 0.00028586, 0.00000068, 1905.09, 300, 0.00024521, 0.00000055, 12598.98, 1984, 1.00, 0.86, 0.98, 6.51, 0.00000032
1, 0.00024129, 0.00000053, 34.67, 1939.76, 28, 0.00024568, 0.00000062, 1905.09, 300, 0.00023286, 0.00000074, 4064.19, 640, 1.02, 0.97, 0.98, 2.10, 0.00019697
2, 0.00005869, 0.00000028, 16.09, 1235.35, 17, 0.00006176, 0.00000003, 1219.26, 192, 0.00006176, 0.00000003, 1219.26, 192, 1.05, 1.05, 0.99, 0.99, 0.00010366
3, 0.00000349, 0.00000000, 10.41, 391.43, 11, 0.00000349, 0.00000000, 381.02, 60, 0.00000349, 0.00000000, 381.02, 60, 1.00, 1.00, 0.97, 0.97, 1.00000000
4, 0.00008857, 0.00000030, 35.35, 1940.44, 15, 0.00008857, 0.00000030, 1905.09, 300, 0.00008829, 0.00000023, 6096.28, 960, 1.00, 1.00, 0.98, 3.14, 0.34118412
5, 0.00014267, 0.00000036, 22.47, 1927.56, 15, 0.00014267, 0.00000036, 1905.09, 300, 0.00014215, 0.00000033, 2844.93, 448, 1.00, 1.00, 0.99, 1.48, 0.21211723
6, 0.00008755, 0.00000016, 12.50, 1638.18, 13, 0.00008755, 0.00000016, 1625.67, 256, 0.00008755, 0.00000016, 1625.67, 256, 1.00, 1.00, 0.99, 0.99, 1.00000000
7, 0.00001117, 0.00000000, 6.96, 387.98, 2, 0.00001117, 0.00000000, 381.02, 60, 0.00001117, 0.00000000, 381.02, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
8, 0.00002480, 0.00000016, 26.09, 838.93, 21, 0.00002664, 0.00000006, 812.84, 128, 0.00002664, 0.00000006, 812.84, 128, 1.07, 1.07, 0.97, 0.97, 0.00011842
9, 0.00048320, 0.00000033, 45.83, 1950.92, 24, 0.00048643, 0.00000226, 1905.09, 300, 0.00048464, 0.00000154, 8534.79, 1344, 1.01, 1.00, 0.98, 4.37, 0.26700197
10, 0.00000336, 0.00000000, 11.63, 418.04, 11, 0.00000336, 0.00000000, 406.42, 64, 0.00000336, 0.00000000, 406.42, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
11, 0.00028501, 0.00000028, 24.46, 1929.54, 17, 0.00028547, 0.00000085, 1905.09, 300, 0.00026356, 0.00000073, 13818.23, 2176, 1.00, 0.92, 0.99, 7.16, 0.00000267
12, 0.00023631, 0.00000048, 21.21, 1926.30, 11, 0.00023631, 0.00000048, 1905.09, 300, 0.00023492, 0.00000029, 4064.19, 640, 1.00, 0.99, 0.99, 2.11, 0.02518558
13, 0.00000216, 0.00000000, 9.63, 390.64, 11, 0.00000216, 0.00000000, 381.02, 60, 0.00000216, 0.00000000, 381.02, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
14, 0.00000413, 0.00000000, 11.03, 417.45, 13, 0.00000413, 0.00000000, 406.42, 64, 0.00000413, 0.00000000, 406.42, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
15, 0.00016402, 0.00000043, 20.86, 1925.95, 11, 0.00016402, 0.00000043, 1905.09, 300, 0.00016402, 0.00000043, 2844.93, 448, 1.00, 1.00, 0.99, 1.48, 1.00000000
16, 0.00013503, 0.00000035, 27.96, 1933.05, 15, 0.00013503, 0.00000035, 1905.09, 300, 0.00013458, 0.00000029, 2438.51, 384, 1.00, 1.00, 0.99, 1.26, 0.23098416
17, 0.00002106, 0.00000000, 7.19, 388.20, 2, 0.00002106, 0.00000000, 381.02, 60, 0.00002106, 0.00000000, 381.02, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
18, 0.00000259, 0.00000000, 10.16, 391.17, 11, 0.00000259, 0.00000000, 381.02, 60, 0.00000259, 0.00000000, 381.02, 60, 1.00, 1.00, 0.97, 0.97, 1.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), std Ansor-1000, tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k, p-value
0, 0.00025834, 0.00000080, 25.33, 6375.62, 13, 0.00025834, 0.00000080, 6350.29, 1000, 0.00024521, 0.00000055, 12598.98, 1984, 1.00, 0.95, 1.00, 1.98, 0.00004396
1, 0.00022832, 0.00000051, 36.93, 4101.11, 27, 0.00023286, 0.00000074, 4064.19, 640, 0.00023286, 0.00000074, 4064.19, 640, 1.02, 1.02, 0.99, 0.99, 0.00203500
2, 0.00005325, 0.00000028, 18.85, 1238.10, 19, 0.00006176, 0.00000003, 1219.26, 192, 0.00006176, 0.00000003, 1219.26, 192, 1.16, 1.16, 0.98, 0.98, 0.00000176
3, 0.00000349, 0.00000000, 10.44, 391.46, 11, 0.00000349, 0.00000000, 381.02, 60, 0.00000349, 0.00000000, 381.02, 60, 1.00, 1.00, 0.97, 0.97, 1.00000000
4, 0.00008829, 0.00000023, 39.90, 6136.18, 15, 0.00008829, 0.00000023, 6096.28, 960, 0.00008829, 0.00000023, 6096.28, 960, 1.00, 1.00, 0.99, 0.99, 1.00000000
5, 0.00014215, 0.00000033, 22.39, 2867.32, 15, 0.00014215, 0.00000033, 2844.93, 448, 0.00014215, 0.00000033, 2844.93, 448, 1.00, 1.00, 0.99, 0.99, 1.00000000
6, 0.00008755, 0.00000016, 12.41, 1638.08, 13, 0.00008755, 0.00000016, 1625.67, 256, 0.00008755, 0.00000016, 1625.67, 256, 1.00, 1.00, 0.99, 0.99, 1.00000000
7, 0.00001117, 0.00000000, 6.99, 388.01, 2, 0.00001117, 0.00000000, 381.02, 60, 0.00001117, 0.00000000, 381.02, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
8, 0.00002470, 0.00000015, 26.05, 838.89, 21, 0.00002664, 0.00000006, 812.84, 128, 0.00002664, 0.00000006, 812.84, 128, 1.08, 1.08, 0.97, 0.97, 0.00007443
9, 0.00048310, 0.00000016, 45.52, 6395.81, 21, 0.00048464, 0.00000154, 6350.29, 1000, 0.00048464, 0.00000154, 8534.79, 1344, 1.00, 1.00, 0.99, 1.33, 0.23351164
10, 0.00000336, 0.00000000, 11.54, 417.96, 11, 0.00000336, 0.00000000, 406.42, 64, 0.00000336, 0.00000000, 406.42, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
11, 0.00026499, 0.00000016, 38.39, 6388.68, 17, 0.00026711, 0.00000068, 6350.29, 1000, 0.00026356, 0.00000073, 13818.23, 2176, 1.01, 0.99, 0.99, 2.16, 0.05499803
12, 0.00023492, 0.00000029, 20.81, 4085.00, 11, 0.00023492, 0.00000029, 4064.19, 640, 0.00023492, 0.00000029, 4064.19, 640, 1.00, 1.00, 0.99, 0.99, 1.00000000
13, 0.00000216, 0.00000000, 9.59, 390.61, 11, 0.00000216, 0.00000000, 381.02, 60, 0.00000216, 0.00000000, 381.02, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
14, 0.00000413, 0.00000000, 11.04, 417.45, 13, 0.00000413, 0.00000000, 406.42, 64, 0.00000413, 0.00000000, 406.42, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
15, 0.00016402, 0.00000043, 20.86, 2865.79, 11, 0.00016402, 0.00000043, 2844.93, 448, 0.00016402, 0.00000043, 2844.93, 448, 1.00, 1.00, 0.99, 0.99, 1.00000000
16, 0.00013458, 0.00000029, 30.41, 2468.92, 15, 0.00013458, 0.00000029, 2438.51, 384, 0.00013458, 0.00000029, 2438.51, 384, 1.00, 1.00, 0.99, 0.99, 1.00000000
17, 0.00002106, 0.00000000, 7.19, 388.21, 2, 0.00002106, 0.00000000, 381.02, 60, 0.00002106, 0.00000000, 381.02, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
18, 0.00000259, 0.00000000, 10.09, 391.11, 11, 0.00000259, 0.00000000, 381.02, 60, 0.00000259, 0.00000000, 381.02, 60, 1.00, 1.00, 0.97, 0.97, 1.00000000
