BENCH: resnet101
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00057752, 0.00000030, 96.78, 103.64, 62, 0.00186760, 0.00000011, 6.85,  1, 0.00001965, 0.00000001, 438.72, 64, 3.23, 0.03, 0.07, 4.23, 0.00000000
1, 0.00028908, 0.00000002, 26.56, 33.42, 11, 0.00028908, 0.00000002, 6.85,  1, 0.00004116, 0.00000012, 877.43, 128, 1.00, 0.14, 0.21, 26.26, 0.00000000
2, 0.00001709, 0.00000000, 47.07, 53.93, 15, 0.00001709, 0.00000000, 6.85,  1, 0.00000590, 0.00000000, 438.72, 64, 1.00, 0.35, 0.13, 8.14, 0.00000000
3, 0.00003185, 0.00000016, 20.76, 27.62, 19, 0.00010363, 0.00000001, 6.85,  1, 0.00002822, 0.00000000, 877.43, 128, 3.25, 0.89, 0.25, 31.77, 0.00000583
4, 0.00000417, 0.00000001, 11.01, 17.86, 13, 0.00000417, 0.00000001, 6.85,  1, 0.00000413, 0.00000000, 438.72, 64, 1.00, 0.99, 0.38, 24.56, 0.00369497
5, 0.00020185, 0.00000001, 16.59, 23.44, 11, 0.00020185, 0.00000001, 6.85,  1, 0.00002603, 0.00000005, 877.43, 128, 1.00, 0.13, 0.29, 37.43, 0.00000000
6, 0.00011570, 0.00000002, 27.49, 34.34, 31, 0.00025224, 0.00000001, 6.85,  1, 0.00006913, 0.00000020, 1754.87, 256, 2.18, 0.60, 0.20, 51.10, 0.00000000
7, 0.00015743, 0.00000000, 12.06, 18.91, 11, 0.00015743, 0.00000000, 6.85,  1, 0.00002155, 0.00000004, 1754.87, 256, 1.00, 0.14, 0.36, 92.78, 0.00000000
8, 0.00109704, 0.00000169, 194.78, 201.64, 62, 0.00488472, 0.00000033, 6.85,  1, 0.00002277, 0.00000005, 877.43, 128, 4.45, 0.02, 0.03, 4.35, 0.00000000
9, 0.00022139, 0.00000029, 22.13, 28.99, 27, 0.00037710, 0.00000057, 6.85,  1, 0.00008823, 0.00000017, 2632.30, 384, 1.70, 0.40, 0.24, 90.80, 0.00000000
10, 0.00004551, 0.00000016, 38.80, 45.65, 44, 0.00005812, 0.00000000, 6.85,  1, 0.00001371, 0.00000001, 1316.15, 192, 1.28, 0.30, 0.15, 28.83, 0.00000000
11, 0.00003722, 0.00000006, 17.06, 23.91, 15, 0.00003722, 0.00000006, 6.85,  1, 0.00003531, 0.00000010, 1754.87, 256, 1.00, 0.95, 0.29, 73.38, 0.00002192
12, 0.00006132, 0.00000016, 39.27, 46.12, 25, 0.00015783, 0.00000019, 6.85,  1, 0.00002703, 0.00000005, 877.43, 128, 2.57, 0.44, 0.15, 19.02, 0.00000000
13, 0.00009998, 0.00000003, 18.76, 25.62, 13, 0.00009998, 0.00000003, 6.85,  1, 0.00003638, 0.00000004, 1316.15, 192, 1.00, 0.36, 0.27, 51.38, 0.00000000
14, 0.00015301, 0.00000017, 10.91, 17.76, 11, 0.00015301, 0.00000017, 6.85,  1, 0.00003208, 0.00000005, 2632.30, 384, 1.00, 0.21, 0.39, 148.18, 0.00000000
15, 0.00002763, 0.00000000, 10.19, 17.04, 11, 0.00002763, 0.00000000, 6.85,  1, 0.00000305, 0.00000000, 438.72, 64, 1.00, 0.11, 0.40, 25.74, 0.00000000
16, 0.00005043, 0.00000001, 11.03, 17.89, 11, 0.00005043, 0.00000001, 6.85,  1, 0.00001483, 0.00000003, 877.43, 128, 1.00, 0.29, 0.38, 49.06, 0.00000000
17, 0.00005430, 0.00000011, 17.96, 24.82, 11, 0.00005430, 0.00000011, 6.85,  1, 0.00001569, 0.00000002, 1316.15, 192, 1.00, 0.29, 0.28, 53.03, 0.00000000
18, 0.00044711, 0.00000003, 12.92, 19.77, 11, 0.00044711, 0.00000003, 6.85,  1, 0.00005673, 0.00000010, 2632.30, 384, 1.00, 0.13, 0.35, 133.12, 0.00000000
19, 0.00312686, 0.00000033, 24.15, 31.00, 11, 0.00312686, 0.00000033, 6.85,  1, 0.00004115, 0.00000004, 17987.37, 2624, 1.00, 0.01, 0.22, 580.20, 0.00000000
20, 0.00066605, 0.00000016, 33.15, 40.00, 30, 0.00126608, 0.00000072, 6.85,  1, 0.00003121, 0.00000007, 877.43, 128, 1.90, 0.05, 0.17, 21.94, 0.00000000
21, 0.00009766, 0.00000007, 12.78, 19.64, 11, 0.00009766, 0.00000007, 6.85,  1, 0.00001914, 0.00000005, 1316.15, 192, 1.00, 0.20, 0.35, 67.02, 0.00000000
22, 0.00067163, 0.00000098, 39.77, 46.62, 39, 0.00136337, 0.00000071, 6.85,  1, 0.00002758, 0.00000000, 12284.06, 1792, 2.03, 0.04, 0.15, 263.47, 0.00000000
23, 0.00009400, 0.00000003, 12.09, 18.94, 11, 0.00009400, 0.00000003, 6.85,  1, 0.00001598, 0.00000003, 7458.18, 1088, 1.00, 0.17, 0.36, 393.74, 0.00000000
24, 0.00000501, 0.00000016, 15.72, 22.58, 23, 0.00001989, 0.00000001, 6.85,  1, 0.00000366, 0.00000000, 411.30, 60, 3.97, 0.73, 0.30, 18.22, 0.00029265
25, 0.00024082, 0.00000000, 11.77, 18.62, 11, 0.00024082, 0.00000000, 6.85,  1, 0.00002426, 0.00000007, 2193.58, 320, 1.00, 0.10, 0.37, 117.80, 0.00000000
26, 0.00153680, 0.00000374, 30.56, 37.42, 28, 0.00264082, 0.00000002, 6.85,  1, 0.00004871, 0.00000007, 1316.15, 192, 1.72, 0.03, 0.18, 35.18, 0.00000000
27, 0.00006184, 0.00000001, 13.57, 20.42, 13, 0.00006184, 0.00000001, 6.85,  1, 0.00003674, 0.00000007, 877.43, 128, 1.00, 0.59, 0.34, 42.96, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), std Ansor-10, tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k, p-value
0, 0.00002139, 0.00000032, 30.49, 99.04, 32, 0.00002465, 0.00000000, 68.55, 10, 0.00001965, 0.00000001, 438.72, 64, 1.15, 0.92, 0.69, 4.43, 0.00158413
1, 0.00010170, 0.00000025, 74.96, 143.51, 42, 0.00018557, 0.00000000, 68.55, 10, 0.00004116, 0.00000012, 877.43, 128, 1.82, 0.40, 0.48, 6.11, 0.00000000
