BENCH: densenet121
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00003786, 0.00000009, 14.78, 21.94, 15, 0.00003786, 0.00000009, 7.16,  1, 0.00002097, 0.00000005, 916.93, 128, 1.00, 0.55, 0.33, 41.79, 0.00000000
1, 0.00027420, 0.00000064, 29.72, 36.88, 35, 0.00036040, 0.00000000, 7.16,  1, 0.00001411, 0.00000001, 916.93, 128, 1.31, 0.05, 0.19, 24.86, 0.00000000
2, 0.00006411, 0.00000008, 18.07, 25.23, 11, 0.00006411, 0.00000008, 7.16,  1, 0.00002773, 0.00000005, 5043.13, 704, 1.00, 0.43, 0.28, 199.88, 0.00000000
3, 0.00010097, 0.00000002, 12.44, 19.61, 11, 0.00010097, 0.00000002, 7.16,  1, 0.00000812, 0.00000004, 916.93, 128, 1.00, 0.08, 0.37, 46.76, 0.00000000
4, 0.00004881, 0.00000026, 20.92, 28.08, 27, 0.00005243, 0.00000000, 7.16,  1, 0.00001463, 0.00000000, 458.47, 64, 1.07, 0.30, 0.26, 16.33, 0.00000000
5, 0.00009693, 0.00000028, 33.12, 40.28, 40, 0.00016814, 0.00000001, 7.16,  1, 0.00003614, 0.00000005, 1375.40, 192, 1.73, 0.37, 0.18, 34.15, 0.00000000
6, 0.00006621, 0.00000027, 17.80, 24.97, 21, 0.00008698, 0.00000001, 7.16,  1, 0.00001080, 0.00000000, 916.93, 128, 1.31, 0.16, 0.29, 36.73, 0.00000000
7, 0.00000422, 0.00000000, 11.04, 18.21, 13, 0.00000422, 0.00000000, 7.16,  1, 0.00000415, 0.00000001, 458.47, 64, 1.00, 0.98, 0.39, 25.18, 0.00005372
8, 0.00003666, 0.00000001, 11.84, 19.00, 11, 0.00003666, 0.00000001, 7.16,  1, 0.00002002, 0.00000004, 916.93, 128, 1.00, 0.55, 0.38, 48.26, 0.00000000
9, 0.00009836, 0.00000001, 14.63, 21.79, 13, 0.00009836, 0.00000001, 7.16,  1, 0.00001874, 0.00000001, 916.93, 128, 1.00, 0.19, 0.33, 42.08, 0.00000000
10, 0.00004393, 0.00000030, 27.23, 34.40, 23, 0.00005162, 0.00000000, 7.16,  1, 0.00001913, 0.00000002, 916.93, 128, 1.17, 0.44, 0.21, 26.66, 0.00000003
