BENCH: shufflenet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00000367, 0.00000001, 14.22, 21.10, 9, 0.00000367, 0.00000001, 6.88,  1, 0.00000217, 0.00000000, 880.89, 128, 1.00, 0.59, 0.33, 41.74, 0.00000000
1, 0.00001402, 0.00000000, 26.20, 33.08, 11, 0.00001402, 0.00000000, 6.88,  1, 0.00000588, 0.00000000, 2202.24, 320, 1.00, 0.42, 0.21, 66.57, 0.00000000
2, 0.00000610, 0.00000000, 11.65, 18.53, 11, 0.00000610, 0.00000000, 6.88,  1, 0.00000252, 0.00000000, 880.89, 128, 1.00, 0.41, 0.37, 47.53, 0.00000000
3, 0.00002199, 0.00000000, 12.53, 19.41, 13, 0.00002199, 0.00000000, 6.88,  1, 0.00000865, 0.00000000, 3083.13, 448, 1.00, 0.39, 0.35, 158.86, 0.00000000
4, 0.00000407, 0.00000000, 8.24, 15.12, 6, 0.00000407, 0.00000000, 6.88,  1, 0.00000224, 0.00000000, 1761.79, 256, 1.00, 0.55, 0.46, 116.48, 0.00000000
5, 0.00051719, 0.00000001, 25.44, 32.33, 15, 0.00051719, 0.00000001, 6.88,  1, 0.00001411, 0.00000000, 4404.47, 640, 1.00, 0.03, 0.21, 136.25, 0.00000000
6, 0.00000694, 0.00000016, 20.30, 27.18, 22, 0.00000695, 0.00000001, 6.88,  1, 0.00000350, 0.00000001, 16737.00, 2432, 1.00, 0.50, 0.25, 615.70, 0.00000716
7, 0.00000685, 0.00000027, 23.26, 30.14, 21, 0.00000746, 0.00000000, 6.88,  1, 0.00000216, 0.00000000, 2202.24, 320, 1.09, 0.32, 0.23, 73.07, 0.00001757
8, 0.00005961, 0.00000016, 17.01, 23.89, 21, 0.00006198, 0.00000002, 6.88,  1, 0.00000720, 0.00000000, 2642.68, 384, 1.04, 0.12, 0.29, 110.63, 0.00000000
9, 0.00002762, 0.00000000, 11.06, 17.95, 11, 0.00002762, 0.00000000, 6.88,  1, 0.00000305, 0.00000000, 1321.34, 192, 1.00, 0.11, 0.38, 73.63, 0.00000000
10, 0.00000796, 0.00000000, 12.80, 19.68, 11, 0.00000796, 0.00000000, 6.88,  1, 0.00000512, 0.00000000, 1761.79, 256, 1.00, 0.64, 0.35, 89.52, 0.00000000
11, 0.00000253, 0.00000000, 11.34, 18.22, 11, 0.00000253, 0.00000000, 6.88,  1, 0.00000216, 0.00000000, 2202.24, 320, 1.00, 0.85, 0.38, 120.86, 0.00000000
12, 0.00000524, 0.00000000, 7.89, 14.77, 5, 0.00000524, 0.00000000, 6.88,  1, 0.00000217, 0.00000000, 1321.34, 192, 1.00, 0.41, 0.47, 89.44, 0.00000000
13, 0.00006112, 0.00000001, 12.84, 19.73, 11, 0.00006112, 0.00000001, 6.88,  1, 0.00000344, 0.00000000, 7487.60, 1088, 1.00, 0.06, 0.35, 379.57, 0.00000000
14, 0.00000294, 0.00000000, 14.29, 21.17, 15, 0.00000294, 0.00000000, 6.88,  1, 0.00000244, 0.00000000, 880.89, 128, 1.00, 0.83, 0.33, 41.62, 0.00000000
15, 0.00002150, 0.00000028, 18.48, 25.36, 18, 0.00003223, 0.00000000, 6.88,  1, 0.00000469, 0.00000000, 11451.63, 1664, 1.50, 0.22, 0.27, 451.50, 0.00000011
16, 0.00000888, 0.00000000, 11.18, 18.07, 11, 0.00000888, 0.00000000, 6.88,  1, 0.00000376, 0.00000000, 1321.34, 192, 1.00, 0.42, 0.38, 73.14, 0.00000000
17, 0.00000364, 0.00000001, 9.85, 16.73, 11, 0.00000364, 0.00000001, 6.88,  1, 0.00000244, 0.00000000, 653.79, 95, 1.00, 0.67, 0.41, 39.08, 0.00000000
18, 0.00002138, 0.00000033, 23.49, 30.37, 22, 0.00008283, 0.00000000, 6.88,  1, 0.00000217, 0.00000001, 4844.92, 704, 3.87, 0.10, 0.23, 159.51, 0.00000013
19, 0.00000415, 0.00000000, 10.69, 17.57, 12, 0.00000415, 0.00000000, 6.88,  1, 0.00000217, 0.00000000, 880.89, 128, 1.00, 0.52, 0.39, 50.13, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), std Ansor-10, tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k, p-value
0, 0.00000367, 0.00000001, 14.18, 83.00, 9, 0.00000367, 0.00000001, 68.82, 10, 0.00000217, 0.00000000, 880.89, 128, 1.00, 0.59, 0.83, 10.61, 0.00000000
1, 0.00001369, 0.00000001, 12.20, 81.02, 12, 0.00001369, 0.00000001, 68.82, 10, 0.00000588, 0.00000000, 2202.24, 320, 1.00, 0.43, 0.85, 27.18, 0.00000000
2, 0.00000458, 0.00000000, 15.07, 83.89, 16, 0.00000458, 0.00000000, 68.82, 10, 0.00000252, 0.00000000, 880.89, 128, 1.00, 0.55, 0.82, 10.50, 0.00000000
3, 0.00001421, 0.00000015, 19.25, 88.07, 25, 0.00001486, 0.00000000, 68.82, 10, 0.00000865, 0.00000000, 3083.13, 448, 1.05, 0.61, 0.78, 35.01, 0.00000084
