BENCH: resnet34
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00001050, 0.00000000, 11.56, 19.05, 11, 0.00001050, 0.00000000, 7.49,  1, 0.00000608, 0.00000000, 479.20, 64, 1.00, 0.58, 0.39, 25.16, 0.00000000
1, 0.00016463, 0.00000016, 9.92, 17.41, 7, 0.00027338, 0.00000002, 7.49,  1, 0.00004418, 0.00000002, 12459.12, 1664, 1.66, 0.27, 0.43, 715.58, 0.00000000
2, 0.00006133, 0.00000001, 13.02, 20.50, 11, 0.00006133, 0.00000001, 7.49,  1, 0.00002414, 0.00000004, 4312.77, 576, 1.00, 0.39, 0.37, 210.33, 0.00000000
3, 0.00006042, 0.00000028, 15.82, 23.31, 22, 0.00007829, 0.00000000, 7.49,  1, 0.00000824, 0.00000000, 958.39, 128, 1.30, 0.14, 0.32, 41.12, 0.00000000
4, 0.00000421, 0.00000000, 10.48, 17.97, 12, 0.00000421, 0.00000000, 7.49,  1, 0.00000416, 0.00000001, 479.20, 64, 1.00, 0.99, 0.42, 26.67, 0.00042758
5, 0.00049958, 0.00000014, 35.43, 42.92, 11, 0.00049958, 0.00000014, 7.49,  1, 0.00002363, 0.00000003, 4312.77, 576, 1.00, 0.05, 0.17, 100.48, 0.00000000
6, 0.00066572, 0.00000003, 13.96, 21.44, 11, 0.00066572, 0.00000003, 7.49,  1, 0.00005204, 0.00000005, 8625.54, 1152, 1.00, 0.08, 0.35, 402.25, 0.00000000
7, 0.00055398, 0.00000000, 267.63, 275.12, 38, 0.00105146, 0.00000005, 7.49,  1, 0.00002884, 0.00000004, 1916.79, 256, 1.90, 0.05, 0.03, 6.97, 0.00000000
8, 0.00055180, 0.00000034, 25.60, 33.09, 23, 0.00056457, 0.00000006, 7.49,  1, 0.00002798, 0.00000008, 10542.33, 1408, 1.02, 0.05, 0.23, 318.61, 0.00000000
9, 0.00001305, 0.00000000, 11.41, 18.89, 13, 0.00001305, 0.00000000, 7.49,  1, 0.00000305, 0.00000000, 479.20, 64, 1.00, 0.23, 0.40, 25.36, 0.00000000
