BENCH: resnet50
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
9, 0.00010403, 0.00000009, 13.90, 1308.35, 15, 0.00010403, 0.00000009, 1294.45, 200, 0.00010115, 0.00000011, 4142.25, 640, 1.00, 0.97, 0.99, 3.17, 0.00000915
10, 0.00001321, 0.00000003, 23.53, 1317.99, 17, 0.00001321, 0.00000003, 1294.45, 200, 0.00001311, 0.00000004, 2485.35, 384, 1.00, 0.99, 0.98, 1.89, 0.04081241
11, 0.00003532, 0.00000009, 15.80, 1310.26, 16, 0.00003532, 0.00000009, 1294.45, 200, 0.00003532, 0.00000009, 2899.58, 448, 1.00, 1.00, 0.99, 2.21, 1.00000000
12, 0.00002717, 0.00000007, 77.62, 1320.29, 11, 0.00002717, 0.00000007, 1242.68, 192, 0.00002717, 0.00000007, 1242.68, 192, 1.00, 1.00, 0.94, 0.94, 1.00000000
13, 0.00003408, 0.00000006, 25.75, 1320.20, 15, 0.00003408, 0.00000006, 1294.45, 200, 0.00003408, 0.00000006, 1656.90, 256, 1.00, 1.00, 0.98, 1.26, 1.00000000
14, 0.00003212, 0.00000011, 16.31, 1310.76, 11, 0.00003212, 0.00000011, 1294.45, 200, 0.00002957, 0.00000004, 3728.03, 576, 1.00, 0.92, 0.99, 2.84, 0.00000663
15, 0.00000305, 0.00000000, 12.22, 426.44, 13, 0.00000305, 0.00000000, 414.23, 64, 0.00000305, 0.00000000, 414.23, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
16, 0.00001605, 0.00000002, 16.29, 1258.96, 15, 0.00001605, 0.00000002, 1242.68, 192, 0.00001605, 0.00000002, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
17, 0.00001696, 0.00000004, 18.71, 1313.16, 11, 0.00001696, 0.00000004, 1294.45, 200, 0.00001684, 0.00000001, 2071.13, 320, 1.00, 0.99, 0.99, 1.58, 0.01506684
18, 0.00006028, 0.00000003, 25.91, 1320.36, 11, 0.00006028, 0.00000003, 1294.45, 200, 0.00005689, 0.00000000, 4556.48, 704, 1.00, 0.94, 0.98, 3.45, 0.00000001
19, 0.00004436, 0.00000005, 19.99, 1314.44, 11, 0.00004436, 0.00000005, 1294.45, 200, 0.00003381, 0.00000006, 6627.60, 1024, 1.00, 0.76, 0.98, 5.04, 0.00000000
20, 0.00002894, 0.00000004, 12.80, 1255.48, 11, 0.00002894, 0.00000004, 1242.68, 192, 0.00002894, 0.00000004, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
21, 0.00001841, 0.00000002, 14.17, 1308.63, 13, 0.00001841, 0.00000002, 1294.45, 200, 0.00001793, 0.00000001, 2485.35, 384, 1.00, 0.97, 0.99, 1.90, 0.00000270
22, 0.00002299, 0.00000003, 17.73, 1312.19, 13, 0.00002299, 0.00000003, 1294.45, 200, 0.00002145, 0.00000003, 4142.25, 640, 1.00, 0.93, 0.99, 3.16, 0.00000084
23, 0.00001721, 0.00000003, 21.65, 1316.11, 15, 0.00001721, 0.00000003, 1294.45, 200, 0.00001717, 0.00000003, 4142.25, 640, 1.00, 1.00, 0.98, 3.15, 0.23042414
24, 0.00000366, 0.00000001, 6.94, 395.28, 2, 0.00000366, 0.00000001, 388.34, 60, 0.00000366, 0.00000001, 388.34, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
25, 0.00002370, 0.00000005, 15.84, 1310.30, 11, 0.00002370, 0.00000005, 1294.45, 200, 0.00002301, 0.00000005, 2899.58, 448, 1.00, 0.97, 0.99, 2.21, 0.00012709
26, 0.00006055, 0.00000000, 21.93, 1316.38, 11, 0.00006055, 0.00000000, 1294.45, 200, 0.00006052, 0.00000000, 2485.35, 384, 1.00, 1.00, 0.98, 1.89, 0.00051134
