BENCH: mobilenet_v2
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
27, 0.00000825, 0.00000001, 11.87, 364.62, 11, 0.00000825, 0.00000001, 352.75, 50, 0.00000506, 0.00000000, 1354.54, 192, 1.00, 0.61, 0.97, 3.71, 0.00000000
28, 0.00000474, 0.00000001, 14.73, 367.48, 11, 0.00000474, 0.00000001, 352.75, 50, 0.00000371, 0.00000000, 1806.06, 256, 1.00, 0.78, 0.96, 4.91, 0.00000006
29, 0.00000553, 0.00000000, 15.70, 368.44, 17, 0.00000553, 0.00000000, 352.75, 50, 0.00000368, 0.00000000, 3160.60, 448, 1.00, 0.67, 0.96, 8.58, 0.00000000
30, 0.00000754, 0.00000000, 19.88, 372.62, 13, 0.00000754, 0.00000000, 352.75, 50, 0.00000642, 0.00000000, 1354.54, 192, 1.00, 0.85, 0.95, 3.64, 0.00000000
31, 0.00001090, 0.00000000, 20.41, 373.16, 15, 0.00001090, 0.00000000, 352.75, 50, 0.00000795, 0.00000000, 2257.57, 320, 1.00, 0.73, 0.95, 6.05, 0.00000000
32, 0.00000798, 0.00000000, 16.54, 369.28, 15, 0.00000798, 0.00000000, 352.75, 50, 0.00000565, 0.00000000, 3612.11, 512, 1.00, 0.71, 0.96, 9.78, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-100 (s), std Ansor-100, tuning time Ansor-100, task Ansor-100, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-100, speedup 10k, speed tuning time top-100, speed tuning time 10k, p-value
0, 0.00000730, 0.00000002, 11.17, 716.66, 11, 0.00000730, 0.00000002, 705.49, 100, 0.00000724, 0.00000000, 1806.06, 256, 1.00, 0.99, 0.98, 2.52, 0.00717946
1, 0.00000415, 0.00000000, 12.96, 718.45, 11, 0.00000415, 0.00000000, 705.49, 100, 0.00000415, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 1.26, 1.00000000
2, 0.00000239, 0.00000000, 7.76, 713.25, 5, 0.00000239, 0.00000000, 705.49, 100, 0.00000236, 0.00000000, 2257.57, 320, 1.00, 0.98, 0.99, 3.17, 0.00026611
3, 0.00001156, 0.00000000, 13.98, 719.47, 15, 0.00001156, 0.00000000, 705.49, 100, 0.00001023, 0.00000000, 4966.65, 704, 1.00, 0.89, 0.98, 6.90, 0.00000000
4, 0.00000358, 0.00000000, 14.32, 719.81, 11, 0.00000358, 0.00000000, 705.49, 100, 0.00000356, 0.00000000, 2257.57, 320, 1.00, 0.99, 0.98, 3.14, 0.00000200
5, 0.00000265, 0.00000000, 12.81, 718.30, 11, 0.00000265, 0.00000000, 705.49, 100, 0.00000256, 0.00000000, 2257.57, 320, 1.00, 0.97, 0.98, 3.14, 0.00000004
6, 0.00000958, 0.00000000, 13.18, 718.67, 11, 0.00000958, 0.00000000, 705.49, 100, 0.00000958, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.98, 3.14, 1.00000000
7, 0.00000427, 0.00000000, 13.22, 718.71, 11, 0.00000427, 0.00000000, 705.49, 100, 0.00000427, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 1.26, 1.00000000
8, 0.00000729, 0.00000000, 16.35, 721.84, 11, 0.00000729, 0.00000000, 705.49, 100, 0.00000538, 0.00000000, 2709.08, 384, 1.00, 0.74, 0.98, 3.75, 0.00000000
9, 0.00000411, 0.00000000, 10.78, 716.27, 13, 0.00000411, 0.00000000, 705.49, 100, 0.00000411, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 1.26, 1.00000000
10, 0.00000706, 0.00000000, 21.00, 726.49, 15, 0.00000706, 0.00000000, 705.49, 100, 0.00000647, 0.00000001, 4515.14, 640, 1.00, 0.92, 0.97, 6.21, 0.00000015
11, 0.00000551, 0.00000000, 13.25, 718.74, 11, 0.00000551, 0.00000000, 705.49, 100, 0.00000499, 0.00000000, 2257.57, 320, 1.00, 0.90, 0.98, 3.14, 0.00000000
12, 0.00001149, 0.00000000, 14.08, 719.57, 14, 0.00001149, 0.00000000, 705.49, 100, 0.00001115, 0.00000000, 2709.08, 384, 1.00, 0.97, 0.98, 3.76, 0.00000000
13, 0.00000295, 0.00000000, 14.12, 719.61, 16, 0.00000295, 0.00000000, 705.49, 100, 0.00000295, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 1.25, 0.00003546
14, 0.00002230, 0.00000000, 13.97, 719.46, 16, 0.00002230, 0.00000000, 705.49, 100, 0.00001884, 0.00000003, 4063.63, 576, 1.00, 0.84, 0.98, 5.65, 0.00000001
15, 0.00000545, 0.00000000, 14.91, 720.40, 11, 0.00000545, 0.00000000, 705.49, 100, 0.00000499, 0.00000000, 1354.54, 192, 1.00, 0.92, 0.98, 1.88, 0.00000000
