BENCH: resnet152
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00005028, 0.00000017, 44.41, 50.52, 38, 0.00005095, 0.00000000, 6.11,  1, 0.00001768, 0.00000003, 391.00, 64, 1.01, 0.35, 0.12, 7.74, 0.00000000
1, 0.00009545, 0.00000033, 36.41, 42.52, 32, 0.00019181, 0.00000008, 6.11,  1, 0.00004315, 0.00000007, 1173.01, 192, 2.01, 0.45, 0.14, 27.59, 0.00000000
2, 0.00001263, 0.00000028, 46.49, 52.60, 49, 0.00001362, 0.00000001, 6.11,  1, 0.00000630, 0.00000001, 391.00, 64, 1.08, 0.50, 0.12, 7.43, 0.00000558
3, 0.00003095, 0.00000032, 31.80, 37.91, 48, 0.00011774, 0.00000000, 6.11,  1, 0.00002826, 0.00000001, 782.01, 128, 3.80, 0.91, 0.16, 20.63, 0.00029399
4, 0.00000418, 0.00000000, 10.76, 16.87, 12, 0.00000418, 0.00000000, 6.11,  1, 0.00000410, 0.00000000, 391.00, 64, 1.00, 0.98, 0.36, 23.18, 0.00002486
5, 0.00005201, 0.00000001, 14.54, 20.65, 11, 0.00005201, 0.00000001, 6.11,  1, 0.00003280, 0.00000014, 782.01, 128, 1.00, 0.63, 0.30, 37.88, 0.00000000
6, 0.00011906, 0.00000006, 14.87, 20.98, 15, 0.00011906, 0.00000006, 6.11,  1, 0.00007231, 0.00000017, 1564.01, 256, 1.00, 0.61, 0.29, 74.55, 0.00000000
7, 0.00143986, 0.00000132, 30.97, 37.08, 37, 0.00492919, 0.00000027, 6.11,  1, 0.00002575, 0.00000003, 1564.01, 256, 3.42, 0.02, 0.16, 42.18, 0.00000000
8, 0.00004477, 0.00000000, 12.90, 19.01, 12, 0.00004477, 0.00000000, 6.11,  1, 0.00002807, 0.00000006, 782.01, 128, 1.00, 0.63, 0.32, 41.13, 0.00000000
9, 0.00044069, 0.00000000, 17.04, 23.15, 13, 0.00044069, 0.00000000, 6.11,  1, 0.00009729, 0.00000019, 1955.02, 320, 1.00, 0.22, 0.26, 84.44, 0.00000000
10, 0.00005334, 0.00000001, 12.94, 19.05, 11, 0.00005334, 0.00000001, 6.11,  1, 0.00001342, 0.00000003, 1173.01, 192, 1.00, 0.25, 0.32, 61.57, 0.00000000
11, 0.00034406, 0.00000048, 17.49, 23.60, 21, 0.00044827, 0.00000023, 6.11,  1, 0.00004262, 0.00000000, 1955.02, 320, 1.30, 0.12, 0.26, 82.84, 0.00000000
12, 0.00031596, 0.00000090, 179.35, 185.46, 35, 0.00058434, 0.00000195, 6.11,  1, 0.00002905, 0.00000004, 782.01, 128, 1.85, 0.09, 0.03, 4.22, 0.00000000
13, 0.00011161, 0.00000128, 40.62, 46.73, 32, 0.00012710, 0.00000013, 6.11,  1, 0.00003853, 0.00000004, 1173.01, 192, 1.14, 0.35, 0.13, 25.10, 0.00000014
14, 0.00020395, 0.00000000, 12.97, 19.08, 11, 0.00020395, 0.00000000, 6.11,  1, 0.00003059, 0.00000009, 1955.02, 320, 1.00, 0.15, 0.32, 102.47, 0.00000000
15, 0.00001250, 0.00000015, 32.78, 38.89, 57, 0.00003003, 0.00000000, 6.11,  1, 0.00000310, 0.00000000, 391.00, 64, 2.40, 0.25, 0.16, 10.05, 0.00000010
16, 0.00002909, 0.00000001, 12.57, 18.68, 11, 0.00002909, 0.00000001, 6.11,  1, 0.00001700, 0.00000004, 782.01, 128, 1.00, 0.58, 0.33, 41.87, 0.00000000
17, 0.00024768, 0.00000031, 60.28, 66.39, 38, 0.00039263, 0.00000002, 6.11,  1, 0.00001576, 0.00000002, 1173.01, 192, 1.59, 0.06, 0.09, 17.67, 0.00000000
18, 0.00015144, 0.00000032, 97.03, 103.14, 49, 0.00050187, 0.00000002, 6.11,  1, 0.00005456, 0.00000006, 2346.02, 384, 3.31, 0.36, 0.06, 22.75, 0.00000000
19, 0.00022653, 0.00000002, 9.89, 16.00, 8, 0.00022653, 0.00000002, 6.11,  1, 0.00003738, 0.00000007, 17986.15, 2944, 1.00, 0.17, 0.38, 1124.25, 0.00000000
20, 0.00046499, 0.00000098, 53.89, 60.00, 46, 0.00095093, 0.00000021, 6.11,  1, 0.00003453, 0.00000006, 782.01, 128, 2.05, 0.07, 0.10, 13.03, 0.00000000
21, 0.00009159, 0.00000016, 58.20, 64.31, 56, 0.00009279, 0.00000001, 6.11,  1, 0.00001809, 0.00000001, 1173.01, 192, 1.01, 0.20, 0.09, 18.24, 0.00000000
