BENCH: mnasnet1_0
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
28, 0.00000359, 0.00000000, 11.99, 724.55, 11, 0.00000359, 0.00000000, 712.56, 100, 0.00000355, 0.00000000, 912.08, 128, 1.00, 0.99, 0.98, 1.26, 0.00000006
29, 0.00000499, 0.00000000, 13.76, 726.32, 13, 0.00000499, 0.00000000, 712.56, 100, 0.00000461, 0.00000000, 912.08, 128, 1.00, 0.92, 0.98, 1.26, 0.00000000
30, 0.00000642, 0.00000000, 15.49, 728.05, 17, 0.00000642, 0.00000000, 712.56, 100, 0.00000472, 0.00000000, 912.08, 128, 1.00, 0.73, 0.98, 1.25, 0.00000000
31, 0.00000340, 0.00000000, 12.44, 725.00, 11, 0.00000340, 0.00000000, 712.56, 100, 0.00000298, 0.00000000, 912.08, 128, 1.00, 0.88, 0.98, 1.26, 0.00000000
32, 0.00001077, 0.00000000, 29.18, 741.74, 15, 0.00001077, 0.00000000, 712.56, 100, 0.00000897, 0.00000000, 2280.19, 320, 1.00, 0.83, 0.96, 3.07, 0.00000000
33, 0.00000470, 0.00000001, 14.10, 726.66, 13, 0.00000470, 0.00000001, 712.56, 100, 0.00000463, 0.00000000, 912.08, 128, 1.00, 0.98, 0.98, 1.26, 0.00098099
34, 0.00000396, 0.00000000, 13.04, 725.60, 11, 0.00000396, 0.00000000, 712.56, 100, 0.00000378, 0.00000000, 1368.11, 192, 1.00, 0.96, 0.98, 1.89, 0.00000000
35, 0.00000267, 0.00000000, 8.88, 464.92, 11, 0.00000267, 0.00000000, 456.04, 64, 0.00000267, 0.00000000, 456.04, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-200 (s), std Ansor-200, tuning time Ansor-200, task Ansor-200, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-200, speedup 10k, speed tuning time top-200, speed tuning time 10k, p-value
0, 0.00000439, 0.00000001, 9.29, 1434.41, 8, 0.00000439, 0.00000001, 1425.12, 200, 0.00000439, 0.00000001, 1824.15, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
1, 0.00000426, 0.00000001, 17.85, 929.92, 11, 0.00000426, 0.00000001, 912.08, 128, 0.00000426, 0.00000001, 912.08, 128, 1.00, 1.00, 0.98, 0.98, 1.00000000
2, 0.00000948, 0.00000000, 14.76, 1439.88, 14, 0.00000948, 0.00000000, 1425.12, 200, 0.00000948, 0.00000000, 1824.15, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
3, 0.00000765, 0.00000001, 14.75, 1439.87, 13, 0.00000765, 0.00000001, 1425.12, 200, 0.00000759, 0.00000002, 5016.41, 704, 1.00, 0.99, 0.99, 3.48, 0.02324353
4, 0.00000485, 0.00000001, 16.04, 928.12, 15, 0.00000485, 0.00000001, 912.08, 128, 0.00000485, 0.00000001, 912.08, 128, 1.00, 1.00, 0.98, 0.98, 1.00000000
5, 0.00001085, 0.00000000, 13.78, 1438.90, 14, 0.00001085, 0.00000000, 1425.12, 200, 0.00001010, 0.00000000, 2280.19, 320, 1.00, 0.93, 0.99, 1.58, 0.00000000
6, 0.00000229, 0.00000000, 10.52, 922.60, 10, 0.00000229, 0.00000000, 912.08, 128, 0.00000229, 0.00000000, 912.08, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
7, 0.00000552, 0.00000000, 12.83, 924.90, 14, 0.00000552, 0.00000000, 912.08, 128, 0.00000552, 0.00000000, 912.08, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
8, 0.00001129, 0.00000000, 17.92, 1443.04, 15, 0.00001129, 0.00000000, 1425.12, 200, 0.00001114, 0.00000002, 2280.19, 320, 1.00, 0.99, 0.99, 1.58, 0.00017892
9, 0.00000313, 0.00000000, 13.99, 1382.11, 13, 0.00000313, 0.00000000, 1368.11, 192, 0.00000313, 0.00000000, 1368.11, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
